if father deceased,MOTHER_IDENTITY,father's forename,death code A,father's occupation,month,FATHER_BIRTH_RECORD_IDENTITY,mar,year,SPOUSE_BIRTH_RECORD_IDENTITY,occupation,mother's occupation,BIRTH_RECORD_IDENTITY,PARENT_MARRIAGE_RECORD_IDENTITY,father's surname,day,marital status,death code B,Birth,forename(s) of deceased,if mother deceased,age at death,FATHER_IDENTITY,mother's forename,SPOUSE_MARRIAGE_RECORD_IDENTITY,mother's maiden surname,name of spouse,SPOUSE_IDENTITY,spouse's occ,death code C,address,sex,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes1,DECEASED_IDENTITY,surname of deceased
,4013,Aaron,A00.91,,JUNE,4012,1169,1920,3302,SHEPHARD,,4007,1070,Ceferov,10,R,,4007,Davide,,63,4012,Petra,1169,,Isabella Schroeder,3302,BORERS WIFE,,"1 Benview Terrace, Clackmannanshire",M,4007,4013,SYNTHETIC DATA PRODUCED USING VALIPOP,4007,Santos
,4414,Tyler,R52.90,,FEBRUARY,4413,1194,1923,4410,CATTLE HEARD,,4409,1195,Boyanov,1,M,,4409,Antoine,,66,4413,Leonie,1194,,Telma Vukovic,4410,PAUPER (AG LAB),,"1 Smollett Road, Silverton, Dumbarton",M,4409,4414,SYNTHETIC DATA PRODUCED USING VALIPOP,4409,Pena
,1910,John,A36.90,,NOVEMBER,1533,,1857,, ,,3070,626,Schroeder,5,B,J05.00,3070,Alexander,,0,1533,Marjory,,Martinez,,,,,"1 Wingate Avenue, Dalry, North Ayrshire",M,3070,1910,SYNTHETIC DATA PRODUCED USING VALIPOP,3070,Schroeder
D,1902,Tyler,A09.03,,DECEMBER,2240,,1857,, ,,3071,624,Szabo,15,B,,3071,Robt,,0,2240,Elizabeth,,WILLIAMS,,,,,"734 Golf Course Road, Girvan, South Ayrshire",M,3071,1902,SYNTHETIC DATA PRODUCED USING VALIPOP,3071,Szabo
,1962,Wm,A16.96,,SEPTEMBER,2502,,1857,, ,,3073,803,Bolkvadze,6,B,,3073,George,,0,2502,Euphemia,,WILLIAMS,,,,,"1 Heugh, Scottish Borders",M,3073,1962,SYNTHETIC DATA PRODUCED USING VALIPOP,3073,Bolkvadze
,2291,Jack,J45.90,,APRIL,2290,,1884,, ,,2292,579,Maisuradze,22,S,,2292,Venla,,64,2290,Sophie,,,,,,,"64 Whitehurst, Hungry Hill, Bearsden",F,2292,2291,SYNTHETIC DATA PRODUCED USING VALIPOP,2292,Maisuradze
,2613,Andrej,P07.30,,JANUARY,2214,,1860,, ,,3075,772,Brankov,15,B,,3075,David,,2,2214,Emma,,Virtanen,,,,,"1 Coplandhill, Aberdeenshire",M,3075,2613,SYNTHETIC DATA PRODUCED USING VALIPOP,3075,Brankov
,2346,Hugh,P07.30,,MARCH,2641,,1860,, ,,3077,805,de Boer,11,B,,3077,Alexr,,2,2641,Irem,,Micallef,,,,,"1 Nelson Place, Dumfries and Galloway",M,3077,2346,SYNTHETIC DATA PRODUCED USING VALIPOP,3077,de Boer
,2202,Sogo,R99.01,,21,2491,,1861,, ,,3079,717,Tyler,AUGUST,B,,3079,John,D,4,2491,Elizabeth,,Fernandez,,,,,"1 Weensmoore, Scottish Borders",M,3079,2202,SYNTHETIC DATA PRODUCED USING VALIPOP,3079,Sot0
,2230,William,A16.96,,JUNE,1905,,1873,,SCHOLAR,,3081,733,Larsson,16,B,,3081,John,,15,1905,Jane,,Markovic,,,,,"1 Bracklinn Road, Drumardoch Farm, Callander",M,3081,2230,SYNTHETIC DATA PRODUCED USING VALIPOP,3081,Larsson
,2338,Julen,A16.96,,JANUARY,2807,,1873,,SCHOLAR,,3083,806,Maisuradze,3,B,,3083,William,,15,2807,Bella,,Harutyunyan,,,,,"1 Napierston Road, West Dunbartonshire",M,3083,2338,SYNTHETIC DATA PRODUCED USING VALIPOP,3083,Maisuradze
D,2416,Duncan,B03.00,,SEPTEMBER,2439,1011,1894,3268,FLAX YARN BLEACHER (WASHER),,3085,807,Wozniak,8,M,,3085,David,D,37,2439,Kate,1011,Garcia,Jane Li,3268,TAILORS WIFE,,"1 Kinmonth Road, Aberdeenshire",M,3085,2416,SYNTHETIC DATA PRODUCED USING VALIPOP,3085,Wozniak
D,2526,Peter,I64.01,,MARCH,2129,1052,1913,3084,HEDDLER & MOUNTER,,3087,808,Prochazka,10,M,,3087,Charles,D,55,2129,Siiri,1052,Shevchuk,Isabella Rodriguez,3084,COTTON WEAVER,,"1 Salisbury Terrace, Broomhill, Aberdeen City",M,3087,2526,SYNTHETIC DATA PRODUCED USING VALIPOP,3087,Prochazka
,2679,Mustafa,A38.00,,DECEMBER,2678,,1862,, ,,3097,693,Li,27,B,,3097,William,,4,2678,Katharina,,Gonzalez,,,,,"1 Balgowan Drive, Downfield, Dundee City",M,3097,2679,SYNTHETIC DATA PRODUCED USING VALIPOP,3097,Li
,1992,Iker,J20.90,,MARCH,1954,,1862,, ,,3098,643,Sepp,14,B,A37.90,3098,Robert,,4,1954,Ann,,WILLIAMS,,,,,"1 Coleridge Avenue, Kirkfield, Bothwell",M,3098,1992,SYNTHETIC DATA PRODUCED USING VALIPOP,3098,Sepp
,3090,Matthew,R09.10,,FEBRUARY,3089,,1862,, ,,3099,810,Boyanov,11,B,,3099,James,,3,3089,Grace,,Nagy,,,,,"1 Bruce Gardens, Dalneigh, Highland",M,3099,3090,SYNTHETIC DATA PRODUCED USING VALIPOP,3099,Boyanov
D,2809,Carlos,C50.90,,SEPTEMBER,2808,,1885,,VISITOR,,2811,728,Larsson,15,S,,2811,Sara,D,66,2808,Elzbieta,,Kovax,,,,,"1 Sandybrae Road, North Ayrshire",F,2811,2809,SYNTHETIC DATA PRODUCED USING VALIPOP,2811,Larsson
,2492,David,A16.91,,JULY,1995,1045,1891,3264,COAL PIT ENGINE KEEPER,,3100,705,Sanchez,27,M,,3100,Patrick,,33,1995,Antonia,1045,Soto,Agnes Garcia,3264, ,,"1 Damside, Wallacetown, Ayr",M,3100,2492,SYNTHETIC DATA PRODUCED USING VALIPOP,3100,Sanchez
D,2430,Alexr,A16.93,,MAY,1923,,1891,,HOUSE PAINTER (JOUR),,3101,764,HUNTER,3,B,,3101,Francis,,32,1923,Aada,,Jones,,,,,"105 Glen Gardens, Braeleny Farm, Callander",M,3101,2430,SYNTHETIC DATA PRODUCED USING VALIPOP,3101,HUNTER
D,2154,Alexander,A01.00,,3,2175,1068,1893,3627,FURNACE KEEPER,,3103,732,Visser,AUGUST,M,,3103,H,,missing,2175,Mary,1068,Fernantez,Julie Zhu,3627,DOMESTIC SERVANT,,"252 Golf Course Road, Girvan, South Ayrshire",M,3103,2154,SYNTHETIC DATA PRODUCED USING VALIPOP,3103,Visser
D,2232,Isak,R99.01,,OCTOBER,2371,1129,1932,3296,PROPRaETOR OF HOUSES,,3105,812,Pa?lauskas,19,M,,3105,Paulauskas,D,74,2371,Mary,1129,Rivera,Annie Kovalchuk,3296,HOUSE KEEPER WIDOW,,"2 Haddo Crescent, Agerdeenshire",M,3105,2232,SYNTHETIC DATA PRODUCED USING VALIPOP,3105,James
D,2464,George,I72.90,,MAY,2127,1085,1932,3924, ,,3109,814,WILLIAMS,8,M,,3109,John,D,73,2127,Marie,1085,Brown,Alice Jimenez,3924, ,,"1 Ailsa Place, Girvan, South Ayrshire",M,3109,2464,SYNTHETIC DATA PRODUCED USING VALIPOP,3109,WILLIAMS
D,2334,Edward,R53.03,,NOVEMBER,2079,1155,1932,3300,LOTTER,,3111,734,Visser,13,M,,3111,Edward,D,74,2079,Ann,1155,Harutyunyan,Jane Brown,3300,HOUSE MAID,,"1590 Castle Road, South Ayrshire",M,3111,2334,SYNTHETIC DATA PRODUCED USING VALIPOP,3111,Visser
D,2412,Benjamin,R09.10,,SEPTEMBER,2915,994,1933,3332,BAKER,,3113,790,Anderson,17,W,,3113,Robert,D,75,2915,Margaret,994,Rivera,Ruby White,3332, ,,"1 Haughead, Scottish Borders",M,3113,2412,SYNTHETIC DATA PRODUCED USING VALIPOP,3113,Anderson
D,2534,John,M79.00,,NOVEMBER,2633,1031,1933,3335,DRAIN LAB,,3115,809,Sanchez,29,W,,3115,Thos,D,75,2633,Jane,1031,Hernandez,Anna White,3335, ,,"3 Grubbit Mill, Scottish Borders",M,3115,2534,SYNTHETIC DATA PRODUCED USING VALIPOP,3115,Sanchez
,4280,Levente,J45.90,,MARCH,4279,1149,1934,4273,ENGIN KEEPER,,4272,1151,Andersson,4,W,I51.90,4272,Ren,,75,4279,Fatma,1149,,Hannah Hadzic,4273,OUT DOOR LABOURER,,"1 Chapel, Fife",M,4272,4280,SYNTHETIC DATA PRODUCED USING VALIPOP,4272,Ilves
,1992,Iker,B05.90,,APRIL,1954,,1861,, ,,3131,643,Sepp,23,B,,3131,Sepp,D,1,1954,missing,,Ann,,,,,"1 Coleridge Avenue, Kirkfield, Bothwell",M,3131,1992,SYNTHETIC DATA PRODUCED USING VALIPOP,3131,Robert
D,3246,Aaron,I64.01,,DECEMBER,3245,,1887,, ,,3250,853,Kovalchuk,9,S,,3250,Aldona,D,68,3245,Anna,,Kavaliauskas,,,,,"1 Camusterrach Place, Highland",F,3250,3246,SYNTHETIC DATA PRODUCED USING VALIPOP,3250,Kovalchuk
,2180,James,R53.03,,APRIL,2606,,1861,, ,,3133,742,Guo,27,B,,3133,Samuel,,2,2606,Isabella,,Fernandez,,,,,"1 Kinclaven Crescent, Nether Kirkton, Perth and Kinross",M,3133,2180,SYNTHETIC DATA PRODUCED USING VALIPOP,3133,Guo
D,2230,William,I51.90,,AUGUST,1905,1021,1891,3088,IRON WORKS LAB,,3135,733,Larsson,15,D,,3135,Robert,,31,1905,Jane,1021,Markovic,Margaret Sanchez,3088,DRESS MAKER,,"1 Kinnear Court, Rummond, Fife",M,3135,2230,SYNTHETIC DATA PRODUCED USING VALIPOP,3135,Larsson
D,2338,Julen,A16.93,,SEPTEMBER,2807,,1891,,QUARRYMAN MASON,,3137,806,Maisuradze,6,S,,3137,Maisuraze,,32,2807,Bella,,Harutyunyan,,,,,"1 Fairhurst R?ad, Stranraer, Dumfries and Galloway",M,3137,2338,SYNTHETIC DATA PRODUCED USING VALIPOP,3137,Andrew
D,2552,David,E14.00,,JULY,2283,1120,1913,3174,SHOE MAKER,,3139,822,Rivera,18,M,,3139,John,D,54,2283,Ana,1120,Novak,Christina Jones,3174, ,,"1 John Simpson Drive, Stranraer, Dumfries and Galloway",M,3139,2552,SYNTHETIC DATA PRODUCED USING VALIPOP,3139,Rivera
D,2414,Isaac,A16.93,,JANUARY,2754,1076,1919,3358,POTTERY LABOURER,,3141,789,Flores,17,M,A09.02,3141,James,D,59,2754,Georgina,1076,CONLLY,Mary Brown,3358,FIRE WOOD DEALER,,"1 Muir Gardens, Northbank Farm Steadings, Fife",M,3141,2414,SYNTHETIC DATA PRODUCED USING VALIPOP,3141,Flores
D,2538,Samuel,J18.90,,SEPTEMBER,2863,1103,1925,3346,BOOKSELLER WAREHOUSMAN,,3143,824,Jones,30,M,,3143,Kenneth,D,66,2863,Kate,1103,Bolkvadze,Catherine Maisuradze,3346,KEEP HOUSE,,"1 Preston Gardens, Annan, Dumfries and Galloway",M,3143,2538,SYNTHETIC DATA PRODUCED USING VALIPOP,3143,Jones
,4728,Gustavo,C76.00,,APRIL,4727,1274,1925,4720,MASON,,4719,1275,Svensson,21,W,,4719,Ethan,,65,4727,Thea,1274,,Emma Gustafsson,4720, ,,"1 Gourlay Court, St Mary's, Duns",M,4719,4728,SYNTHETIC DATA PRODUCED USING VALIPOP,4719,Grigoryan
,1946,William,R09.10,,NOVEMBER,2614,,1863,, ,,3160,829,Virtanen,15,B,,3160,Gilbert,,3,2614,Isabella,,Markovic,,,,,"2 Hope Street, Blackhouse, Peterhead",M,3160,1946,SYNTHETIC DATA PRODUCED USING VALIPOP,3160,Virtanen
,2078,Dovydas,P07.30,,APRIL,2753,,1863,, ,,3161,830,Flores,27,B,,3161,Alexander,,3,2753,Margaret,,Delic,,,,,"2 Bracklinn Road, Drumardoch Farm, Callander",M,3161,2078,SYNTHETIC DATA PRODUCED USING VALIPOP,3161,Flores
,2154,Alexander,P07.30,,MARCH,2175,,1864,,PLOUGHMAN SON,,3163,732,Visser,14,B,,3163,Willia,,4,2175,Mary,,Fernandez,,,,,"1 Allan's Hill, Maybole, South Ayrshire",M,3163,2154,SYNTHETIC DATA PRODUCED USING VALIPOP,3163,Visser
missing,3958,Daan,G83.90,,JUNE,3957,,1888,, ,,3959,1057,Micallef,1,S,,3959,Emma,,68,3957,,,Leire,,,,,"1 Cypress Road, Carfin, Nprth Lanarkshire",F,3959,3958,SYNTHETIC DATA PRODUCED USING VALIPOP,3959,Micalef
D,2180,James,A16.96,,MARCH,2606,,1891,,PLOUGHMAN,,3165,742,Guo,22,B,,3165,John,D,31,2606,Isabella,,Fernandez,,,,,"1 Kinclaven Crescent, Nether Kirkton, Perth and Kinross",M,3165,2180,SYNTHETIC DATA PRODUCED USING VALIPOP,3165,Guo
D,2338,Julen,A75.90,,NOVEMBER,2807,,1913,,JOINER,,3171,806,Maisuradze,6,B,,3171,James,,53,2807,Bella,,Harutyunyan,,,,,"1 Fairhurst Road, Stranraer, Dumfries and Galloway",M,3171,2338,SYNTHETIC DATA PRODUCED USING VALIPOP,3171,Maisuradze
D,2414,Isaac,I51.70,,JANUARY,2754,1138,1930,3500, ,,3173,789,Flores,15,D,J42.00,3173,James,D,69,2754,Georgina,1138,CONLLY,Jane Markovic,3500, ,,"36 Hill Place, Highland",M,3173,2414,SYNTHETIC DATA PRODUCED USING VALIPOP,3173,Flores
D,2526,Peter,J42.00,,JUNE,2129,1152,1939,2988,PAUPER (COAL MINER),,3175,808,Prochazka,15,W,,3175,Alexr,D,78,2129,Siiri,1152,Shevchuk,Maggie Harutyunyan,2988,WIDOW OF A FARMER,,"2 Morven Crescent, Blackhouse, Peterhead",M,3175,2526,SYNTHETIC DATA PRODUCED USING VALIPOP,3175,Prochazka
,3513,Tim,J20.91,,OCTOBER,3512,1099,1939,3176,FORMERLY A PLOUGHMAN,,3514,922,Garcia,1,M,R60.91,3514,Jose,,78,3512,Telma,1099,Каbaney,Ann CONLLY,3176,HOUSE KEEPER,,"2 Plainfield Terrace, Monksford House, Scottish Borders",M,3514,3513,SYNTHETIC DATA PRODUCED USING VALIPOP,3514,Garcia
,4326,Logan,J45.90,,JANUARY,4325,1166,1939,4321,CARPENTER (DUKES),,4320,1168,Gonzalez,19,M,,4320,Alexis,,78,4325,Sophie,1166,,Sophie Farrugia,4321,PAUPER,,"1 Murieston Walk, Murieston, West Lothian",M,4320,4326,SYNTHETIC DATA PRODUCED USING VALIPOP,4320,Wong
,4959,Adam,R54.05,,DECEMBER,4958,,1942,,FORMERLY WHITEFISHER,,4960,1340,Rodriguez,3,B,R53.03,4960,Aleksi,,82,4958,Emma,,,,,,,"1 Peelwalls House, Scottish Borders",M,4960,4959,SYNTHETIC DATA PRODUCED USING VALIPOP,4960,Rodriguez
,1992,Iker,B05.90,,SEPTEMBER,1954,,1864,, ,,3193,643,Sepp,23,B,,3193,Thos,,2,1954,Ann,,WILLIAMS,,,,,"1 Coleridge Avenue, Kirkfield, Bothwell",M,3193,1992,SYNTHETIC DATA PRODUCED USING VALIPOP,3193,Sepp
D,2154,Alexander,J18.90,,DECEMBER,2175,,1882,,SCHOLAR,,3195,732,Visser,27,B,,3195,William,,21,2175,Mary,,Fernandez,,,,,"572 Moss Road, Scottish Borders",M,3195,2154,SYNTHETIC DATA PRODUCED USING VALIPOP,3195,Visser
missing,2490,Thomas,K63.81,,1,1909,,1887,,AG LAB,,3197,781,Harutyunyan,JUNE,B,J98.40,3197,Dafid,,26,1909,Sanne,,Soto,,,,,"1 Carr Crescent, Crail, Fife",M,3197,2490,SYNTHETIC DATA PRODUCED USING VALIPOP,3197,Harutyunyan
,2893,Marjan,N05.94,,FEBRUARY,2892,750,1889,2889,DYKE BUILDER'S WID,,2890,751,Perera,18,W,,2890,Alba,,69,2892,Julie,750,,Matthew Lopez,2889,HOUSE PROPRIETOR,,"1 Langlaw Road, Woodburn, Mayfield",F,2890,2893,SYNTHETIC DATA PRODUCED USING VALIPOP,2890,Hansen
,2336,Michael,A16.93,,JUNE,2215,,1888,,CURRIER,,3201,839,Brankov,1,B,,3201,Peter,,26,2215,Catherine,,White,,,,,"1 Stinchar Road, South Ayrshire",M,3201,2336,SYNTHETIC DATA PRODUCED USING VALIPOP,3201,Brankov
,2552,Davif,J18.90,,JULY,2283,,1895,,AG LAB,,3203,822,Rivera,31,M,,3203,Alexander,D,34,2283,Ana,,Novak,,,,,"1 Blair Street, Little Richorn, Dalbeattie",M,3203,2552,SYNTHETIC DATA PRODUCED USING VALIPOP,3203,Rivera
D,2536,Nojus,C02.90,,JUNE,2976,1154,1920,3268,CARTER,,3205,823,Bonik,27,M,,3205,James,D,58,2976,Janet,1154,Rivera,Jane Li,3268, ,,"1 Leideag, Na h-Eileanan Siar",M,3205,2536,SYNTHETIC DATA PRODUCED USING VALIPOP,3205,Bonik
D,2602,Tomas,A16.29,,APRIL,2238,,1920,,AG LAB,,3207,841,Szabo,10,B,,3207,John,D,58,2238,Ann,,Larsson,,,,,"2 Millbank Road, Stranraer, Dumfries and Galloway",M,3207,2602,SYNTHETIC DATA PRODUCED USING VALIPOP,3207,Szabo
D,3547,Elias,G83.90,,SEPTEMBER,3546,1042,1923,3168,BLACKSMITH EMPLOYING 2 MEN,,3548,936,Kiss,26,M,,3548,Aidan,,62,3546,Catherine,1042,,Margaret Soto,3168, ,,"1 Roseberry Drive, Coplandhill, Aberdeenshire",M,3548,3547,SYNTHETIC DATA PRODUCED USING VALIPOP,3548,Kiss
,3007,Michael,P96.91,,JULY,3006,,1866,, ,,3221,785,Mohamed,31,B,,3221,Wm,,4,3006,Sophie,,Karlsson,,,,,"1 Maconochie Place, Broadsea, Fraserburgh",M,3221,3007,SYNTHETIC DATA PRODUCED USING VALIPOP,3221,Mohamed
,2346,Hugh,A37.90,,APRIL,2641,,1866,, ,,3223,805,de Boer,12,B,,3223,Donald,,3,2641,Irem,,Micallef,,,,,"1 Nelson Place, Dumfries and Galloway",M,3223,2346,SYNTHETIC DATA PRODUCED USING VALIPOP,3223,de Boer
D,2256,Daniel,A16.96,,JANUARY,2493,,1884,,PLOUGHMAN,,3225,748,Soto,23,B,,3225,Thomas,D,21,2493,Maggie,,Sanchez,,,,,"1 Whinnyhouse, Scottish Borders",M,3225,2256,SYNTHETIC DATA PRODUCED USING VALIPOP,3225,Soto
D,2342,Alexander,A16.93,,MAY,2501,,1886,,BRUSH MAKER,,3227,845,Fernandez,12,B,,3227,Alex,,23,2501,Isa,,WILLIAMS,,,,,"1 Balgibbon Drive, Braeleny Farm, Callander",M,3227,2342,SYNTHETIC DATA PRODUCED USING VALIPOP,3227,Fernandez
,2340,Robin,A16.96,,DECEMBER,2703,1124,1892,4108,FARMER'S SON,,3229,783,Rodriguez,26,M,,3229,William,,30,2703,Mary,1124,Rivera,Emma Sanchez,4108,COTTON FACTORY WORKER,,"38 Raonmor, Highland",M,3229,2340,SYNTHETIC DATA PRODUCED USING VALIPOP,3229,Rodriguez
,3305,Oliver,A00.91,,OCTOBER,3304,,1881,, ,,3306,867,Perez,26,S,,3306,Kamile,,60,3304,Manon,,,,,,,"1 Castle Lane, Broughty Ferry, Dundee City",F,3306,3305,SYNTHETIC DATA PRODUCED USING VALIPOP,3306,Perez
,2552,David,A16.91,,SEPTEMBER,2283,1123,1892,3234,COAL MINER,,3231,822,Rivera,6,M,A17.01,3231,James,D,30,2283,Ana,1123,Novak,Elizabeth Anderson,3234,DRESS MAKER,,"1 Merrick Terrace, Dumfries and Galloway",M,3231,2552,SYNTHETIC DATA PRODUCED USING VALIPOP,3231,Rivera
D,2410,Pablo,R22.90,,APRIL,2864,1244,1926,3586,AGR LABORER,,3233,791,Jones,18,M,I51.90,3233,Adam,D,63,2864,Bridget,1244,White,Mary Rojas,3586,GENERAL DEALER,,"1 Strathmore Place, Borrowfield, Montrose",M,3233,2410,SYNTHETIC DATA PRODUCED USING VALIPOP,3233,Jones
D,2450,William,N28.90,,JUNE,2383,1043,1930,3166,GROOM,,3237,848,Delic,1,W,,3237,James,D,68,2383,Anne,1043,Thill,Agnes Soto,3166, ,,"106 Glen Gardens, Braeleny Farm, Callander",M,3237,2450,SYNTHETIC DATA PRODUCED USING VALIPOP,3237,Delic
D,2480,Duncan,G83.90,,SEPTEMBER,2513,1145,1931,3927,FARMER OF 150 ACRES,,3239,815,Garcia,1,M,,3239,James,D,69,2513,Catherine,1145,Szabo,Janice Jimenez,3927,STOCKING KNITTER,,"2 Weensmoore, Scottish Borders",M,3239,2480,SYNTHETIC DATA PRODUCED USING VALIPOP,3239,Garcia
D,2602,Tomas,G83.90,,JUNE,2238,1135,1931,3142,LABOURER,,3241,841,Szabo,27,M,,3241,James,D,69,2238,Ann,1135,Larsson,Isabella Bonik,3142,DARY KEEPER,,"2 Finnart Crescent, Stranraer, Dumfries and Galloway",M,3241,2602,SYNTHETIC DATA PRODUCED USING VALIPOP,3241,Szabo
,4640,Jose,R99.01,,JUNE,4639,,1933,,GARDENER (MASTER),,4641,1257,Flores,21,B,,4641,Mattia,,71,4639,Sara,,,,,,,"1 The Loan, North Bishopbrae, West Lothian",M,4641,4640,SYNTHETIC DATA PRODUCED USING VALIPOP,4641,Flores
,5284,Lukas,C16.90,,MAY,5283,1421,1933,5277, ,,5276,1423,Rodriguez,6,M,C22.90,5276,Lucas,,71,5283,Noemie,1421,,Grace Johansson,5277, ,,"1 Kirk Road, Stane, Shotts",M,5276,5284,SYNTHETIC DATA PRODUCED USING VALIPOP,5276,Moreau
,2727,Lucas,A18.33,,NOVEMBER,1916,,1864,, ,,3255,708,Greco,5,B,,3255,James,,1,1916,Maria,,Levi,,,,,"1 Jenny Moore's Road, Lessudden House, Scottish Borders",M,3255,2727,SYNTHETIC DATA PRODUCED USING VALIPOP,3255,Greco
,2154,Alexander,R09.10,,JANUARY,2175,,1864,, ,,3257,732,Visser,18,B,,3257,Patrick,,0,2175,Mary,,Fernandez,,,,,"1 Allan's Hill, Maybole, South Ayrshire",M,3257,2154,SYNTHETIC DATA PRODUCED USING VALIPOP,3257,Visser
,2230,William,A38.00,,NOVEMBER,1905,,1875,,SCHOLAR,,3259,733,Larsson,3,B,,3259,George,,11,1905,Jane,,Markovic,,,,,"1 Bracklinn Road, Drumardoch Farm, Callander",M,3259,2230,SYNTHETIC DATA PRODUCED USING VALIPOP,3259,Larsson
,3457,Matthew,C50.90,,AUGUST,3456,,1881,,WASH WOMAN,,3458,908,Williams,2,S,,3458,Chiara,,59,3456,Sarah,,,,,,,"109 Larch Drive, Greenhills, East Kilbride",F,3458,3457,SYNTHETIC DATA PRODUCED USING VALIPOP,3458,Williams
D,2334,Thomas,A16.96,,JULY,2391,,1891,,FISH DEALER,,3263,857,Smith,12,B,,3263,William,,28,2391,Ann,,Harutyunyan,,,,,"1 Scaurs, Jedburgh, Scottish Borders",M,3263,2334,SYNTHETIC DATA PRODUCED USING VALIPOP,3263,Smith
,2536,Nojus,C34.90,,MAY,2976,1171,1914,4108,DOMESTIC SERVANT,,3265,823,Bonik,11,M,C76.30,3265,James,D,50,2976,Janet,1171,Rivera,Emma Sanchez,4108, ,,"1 Hope Street, Blackhouse, Peterhead",M,3265,2536,SYNTHETIC DATA PRODUCED USING VALIPOP,3265,Bonik
D,2602,Tomas,J11.10,,MAY,2238,,1915,,GENERAL LAB,,3267,841,Szabo,8,B,J18.90,3267,Ewan,D,51,2238,Ann,,Larsson,,,,,"2 Millbank Road, Stranraer, Dumfries and Galloway",M,3267,2602,SYNTHETIC DATA PRODUCED USING VALIPOP,3267,Szabo
D,2636,Adam,I64.01,,AUGUST,2730,1203,1928,3731,SERVANT,,3269,852,Sanchez,31,M,,3269,Thomas,D,65,2730,Catherine,1203,Williams,Mary Grace Schroeder,3731,SEAMSTRESS,,"1 Grubbit Mill, Scottish Borders",M,3269,2636,SYNTHETIC DATA PRODUCED USING VALIPOP,3269,Sanchez
,4434,Mathias,I51.90,,FEBRUARY,4433,,1928,,COALMINER,,4435,1199,Каbaney,6,B,,4435,Antoine,,64,4433,Ruby,,,,,,,"1 Suffolk Road, Newington, City of Edinburgh",M,4435,4434,SYNTHETIC DATA PRODUCED USING VALIPOP,4435,Каbaney
,2128,Olivier,J20.91,,JUNE,2429,,1865,, ,,3286,716,Jones,9,B,,3286,Robt,,1,2429,Maria,,Delic,,,,,"1 St Margaret's Drive, West End, Hawick",M,3286,2128,SYNTHETIC DATA PRODUCED USING VALIPOP,3286,Jones
,2428,John,J18.00,,SEPTEMBER,2693,,1866,, ,,3287,862,Schroeder,20,B,,3287,John,,2,2693,Michela,,Jones,,,,,"1 Orchard Park, Lessudden House, Scottish Borders",M,3287,2428,SYNTHETIC DATA PRODUCED USING VALIPOP,3287,Schroeder
,2398,Joshua,A17.01,,AUGUST,2528,,1866,, ,,3289,755,Horvat,13,B,,3289,James,,2,2528,Sara,,Green,,,,,"2 Smiddy Park, Aberdeenshire",M,3289,2398,SYNTHETIC DATA PRODUCED USING VALIPOP,3289,Horvat
,2978,Jeffrey,P15.90,,FEBRUARY,2977,,1866,, ,,3291,776,Greco,2,B,,3291,Finlay,,1,2977,Isabella,,Molnar,,,,,"1 Martin Terrace, Aberdeenshire",M,3291,2978,SYNTHETIC DATA PRODUCED USING VALIPOP,3291,Greco
,2465,John,A38.00,,OCTOBER,2281,,1868,, ,,3293,795,STEWART,6,B,,3293,David,,3,2281,Olivia,,Brown,,,,,"1 Pairc Uilleim, Highland",M,3293,2465,SYNTHETIC DATA PRODUCED USING VALIPOP,3293,STEWART
D,1127,William,G83.90,,JULY,823,448,1855,1117, ,,1270,286,WILLIAMS,23,W,,1270,Elizabeth,,70,823,Madison,448,Stojanovic,Walter Jensen,1117,MASON,,"1 Smith Crescent, Girvan, South Ayrshire",F,1270,1127,SYNTHETIC DATA PRODUCED USING VALIPOP,1270,WILLIAMS
D,1554,Donald,R54.05,,APRIL,1489,830,1886,2753,COTTON WEAVER,,2078,514,Delic,4,R,,2078,Margaret,D,64,1489,Ann,830,Popa,Dovydas Flores,2753,HERRING FISHERMAN,,"2 Bracklinn Road, Drumardoch Farm, Callander",F,2078,1554,SYNTHETIC DATA PRODUCED USING VALIPOP,2078,Delic
,2702,John,A37.90,,NOVEMBER,2259,,1868,,AG LABS SON,,3295,797,Rivera,13,B,J20.91,3295,David,,3,2259,Mia,,Rodriguez,,,,,"38 Raonmor, Highland",M,3295,2702,SYNTHETIC DATA PRODUCED USING VALIPOP,3295,Rivera
,2412,Benjamin,J81.01,,OCTOBER,2915,,1868,, ,,3297,790,Anderson,22,B,,3297,Daniel,,3,2915,Margaret,,Rivera,,,,,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",M,3297,2412,SYNTHETIC DATA PRODUCED USING VALIPOP,3297,Anderson
,2480,Duncan,J18.90,,FEBRUARY,2513,,1891,,PLUMBER,,3299,815,Garcia,15,B,,3299,Stephen,D,26,2513,Catherine,,Szabo,,,,,"1 Knockcushan Street, Girvan, South Ayrshire",M,3299,2480,SYNTHETIC DATA PRODUCED USING VALIPOP,3299,Garcia
D,2798,Alexander,I64.01,,JULY,2438,1101,1922,3324,BOOK & STATIONERY AGENT,,3303,866,Markovic,18,W,,3303,Hugh,D,58,2438,Annie,1101,Celik,Annie Harutyunyan,3324, ,,"2 Braehouse, Scottish Borders",M,3303,2798,SYNTHETIC DATA PRODUCED USING VALIPOP,3303,Markovic
