surname of groom,GROOM_FATHER_IDENTITY,if bride's father deceased,month,marital status of groom,BRIDE_IDENTITY,if bride's mother deceased,GROOM_IDENTITY,bride's mother's forename,year,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,address of groom,groom's father's surname,groom's mother's maiden surname,bride's father's surname,day,if groom's father deceased,surname of bride,gdeath,notes1,address of bride,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY,if groom's mother deceased,BRIDE_FATHER_IDENTITY,age of groom,groom's mother's forename,age of bride,occupation of groom,bride's father's forename,groom's father's occupation,forename of groom,GROOM_FATHER_BIRTH_RECORD_IDENTITY,ID,bride's father's occupation,groom's father's forename,bride's mother's maiden surname,bdeath,forename of bride,GROOM_MOTHER_IDENTITY,place of marriage,BRIDE_BIRTH_RECORD_IDENTITY,occupation of bride,marital status of bride,BRIDE_MOTHER_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY
Prochazka,3005,,OCTOBER,B,3998,,3799,Margaret,1906,3799,2737,"1 North Wolridge Gardens Lane, Aberdeenshire",Prochazka,Visser,Novak,15,,Novak,3799,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Glen Gardens, Braeleny Farm, Callander",3032,,2737,24,Isabella,19,ENGINE FIREMAN,John,SHAWL WEAVER,Robert,3005,1246,LABOURER,Angus,Anderson,3998,Mary,3046,Cellardyke Fife,3998,SCHOLAR,S,3032,3046
Tkachenko,4035,,JUNE,B,4080,,4041,Sophie,1907,4041,4075,"1 Balcastle Road, Holehousemuir, Falkirk",Tkachenko,Hernandez,Varga,18,,Varga,4041,SYNTHETIC DATA PRODUCED USING VALIPOP,"35 Patrickbank Wynd, Johnstone Castle, Renfrewshire",4076,,4075,29,Mateja,41,JOINER,Ryan, ,William,4035,1250,FARM SERVT'S SON,Julen,Ahmed,4080,Ava,4036,Littledean Scottish Borders,4080,HOUSEKEEPER,S,4076,4036
Wozniak,2439,,APRIL,B,3420,,3407,Margaret,1907,3407,2584,"1 School Lane, Balbinny, Angus",Wozniak,Garcia,Carvalho,5,,Carvalho,3407,SYNTHETIC DATA PRODUCED USING VALIPOP,"1589 Castle Road, South Ayrshire",2746,,2584,36,Kate,36,JOINER,Jeremy,FARMER OF 40 ACRES EMPLOYING 1 MAN & 1 WOMAN,John,2439,1252,PAROCHIAL SCHOOLMASTER,Duncan,Hernandez,3420,Mary,2416,Glenburn Hall Jedburgh ,3420, ,S,2746,2416
WILLIAMS,2819,,OCTOBER,B,3910,,3675,Ruby,1907,3675,3113,"1 The Avenue, Three Bridges, Inveraray",WILLIAMS,Rossi,Anderson,23,,Anderson,3675,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Haughead, Scottish Borders",3332,,3113,25,Fatma,20,PLOUGHMAN,Robert,COTTON WEAVER,James,2819,1253,MILLER EMPLOYING 2 MEN & 1 BOY,William,White,3910,Margaret,3281,South Ayrshire,3910,SCHOLAR,S,3332,3281
Szabo,2671,,JANUARY,B,4580,,3963,Emily,1907,3963,4583,"1 St Clair Terrace, Troon, South Ayrshire",Szabo,Rossi,Varga,29,,Fontana,3963,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Knockhall Road, Aberdeenshire",4584,,4583,21,Isabella,22,LABOURER,Lucas,FARMER OF 62 ACRES EMPLOYING 3 MEN AND 1 WOMAN,William,2671,1254, ,Thomas,,4580,Leah,3278,Braehouse Scottish Borders,4580, ,D,4584,3278
Brown,4251,,MARCH,B,3970,,4253,Ann,1907,4253,2883,"1 Udston Avenue, South Lanarkshire",Brown,,Soto,9,,Soto,4253,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Orchard Park, Lessudden House, Scottish Borders",3074,,2883,22,Sandra,17,MACHINE MAKER,Willia,TAILOR (MASTER) EMPG 4 MEN,Nathan,4251,1255,WAREHOUSE PORTER,Jorge,Kristiansen,3970,Hellen,4252,St Leonards Ayr ,3970,SCHOLAR,S,3074,4252
Williams,4370,,JULY,B,3684,,4378,Margaret,1908,4378,2737,"1 George Terrace, St Monans, Fife",Williams,Perez,Novak,2,,Novak,4378,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Glen Gardens, Braeleny Farm, Callander",3032,,2737,22,Olivia,27,CARPENTER'S APPRENTICE,John,FARMER,Jeffrey,4370,1261,LABOURER,James,Anderson,3684,Agnes,4371,Northbank Farm Steadings Fife,3684,SERVANT (UNWELL AT PUES),S,3032,4371
Larsson,2931,,MARCH,B,4480,,3875,Ella,1908,3875,4471,"1 Finnart Crescent, Stranraer, Dumfries and Galloway",Larsson,Szabo,Krajnc,17,,Krajnc,3875,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Lochwood Loan, Croftfoot, Moodiesburn",4472,,4471,23,Mary,26,SHEPHERD,Aaron,INNKEEPER & FARMER OF 200 ACRES,James,2931,1262,PUBLICAN,John,Kaya,4480,Emma,2932,Annan Dumfries and Galloway,4480, ,S,4472,2932
Lopez,2891,,FEBRUARY,B,4478,,3795,Ella,1908,3795,4471,"1 Lady Margaret Drive, South Ayrshire",Lopez,Celik,Krajnc,5,,Krajnc,3795,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Lochwood Loan, Croftfoot, Moodiesburn",4472,,4471,23,Annie,23,MINISTER'S SERVANT,Aaron,AG LAB,Jas,2891,1263, ,Lukas,Kaya,4478,Dorina,2798,Wester Hailes City of Edinburgh,4478, ,S,4472,2798
Wozniak,5389,,FEBRUARY,B,6248,,6239,Mary,1973,6239,5010,"1 Coyle Crescent, East Ayrshire",Wozniak,missing,Williams,14,,Margrate,6239,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Annickbank, Stewarton, East Ayrshire",5500,,5010,20,Maggie,21,ENGINEER GENERAL MECHANICS LAND ENGINEER,James,LINEN WEAVER,James,5389,2102,PLASTERER (JOUR),Georg,Dumitru,6248,Willyams,5346,Grubbit Mill Scottish Borders,6248,DOMESTIC SERVANT,S,5500,5346
Schroeder,3725,,DECEMBER,B,3840,,3727,Margaret,1908,3727,2737,"1 Blaeloch Drive, Simshill, Glasgow City",Schroeder,Vasquez,Novak,4,,Novak,3727,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Glen Gardens, Braeleny Farm, Callander",3032,,2737,29,Marie,25,POSTMAN G O P,John,SHEPHERD,Thomas,3725,1264,FARMER OF 4 ACRES,Aaron,Anderson,3840,Bridget,3726,West Kilbride North Ayrshire,3840, ,S,3032,3726
Szabo,2989,,MAY,B,4010,,3941,Katerina,1908,3941,4007,"253 Golf Course Road, Girvan, South Ayrshire",Szabo,Markovic,Santos,1,,Santos,3941,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Old St. Andrews Road, Rummond, Fife",4008,,4007,22,Isabella,25,BOOK BINDER,Davide,PAINTER (JOURNEYMAN),James,2989,1265,SUGAR BOILER,Willia,Gospodinov,4010,Anna,3072,Manse Scottish Borders,4010, ,D,4008,3072
Maisuradze,3319,,APRIL,B,3942,,3973,Ann,1908,3973,2883,"55 The Hawthorns, Dumfries and Galloway",Maisuradze,Rossi,Soto,27,,Soto,3973,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Orchard Park, Lessudden House, Scottish Borders",3074,,2883,20,Elizabeth,21,SCHOLAR,Willia,IRON WORK LABOURER,Angus,3319,1266,WAREHOUSE PORTER,Archibald,Kristiansen,3942,Mary,3418,Stranraer Dumfries and Galloway,3942,COTTON WEAVER,S,3074,3418
Hernandez,2935,,FEBRUARY,B,3944,,3933,Margaret,1908,3933,3548,"1 Queen Street, Calton, Campbeltown",Hernandez,Visser,Kiss,19,,Kiss,3933,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Roseberry Drive, Coplandhill, Aberdeenshire",3168,,3548,20,Whelemina,20,SCHOLAR,Aidan,COTTON WEAVER,Thomas,2935,1267,LAB,Philip,Soto,3944,Catherine,2910,Highland,3944,SCHOLAR,S,3168,2910
Santos,4007,,OCTOBER,B,4026,,4011,Isabella,1909,4011,3087,"1 Benview Terrace, Clackmannanshire",Santos,Gospodinov,Prochazka,21,,Prochazka,4011,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Salisbury Terrace, Broomhill, Aberdeen City",3084,,3087,28,Katerina,19,MASSON (AP),Charles,DAY LABOURER,Louis,4007,1273,MASON'S LABOURER,Davide,Rodriguez,4026,Catherine,4008,Lochgilphead Argyll and Bute,4026,SCHOLAR,S,3084,4008
Mohamed,3008,,FEBRUARY,B,3784,,3945,Jessie,1910,3945,3211,"2 Benrig Manse, Scottish Borders",Mohamed,Nguyen,Petrauskas,8,,Petrauskas,3945,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Buccleuch Gardens, The Holmes, Scottish Borders",2672,,3211,21,Amy,26,CARTER,Joao,COTTAGER,John,3008,1277,TILE MAKER MASTER EMPLOYING 8 MEN,Victor,Hernandez,3784,Ann,3369,Dalry North Ayrshire,3784,PAPER MILL WORKER,S,2672,3369
Hojgaard,4481,,SEPTEMBER,B,3904,,4482,Isabella,1910,4482,2671,"1 Lochwood Loan, Croftfoot, Moodiesburn",Hojgaard,Kaya,Szabo,26,,Szabo,4482,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Clair Terrace, Troon, South Ayrshire",3278,,2671,30,Ella,24, ,Thomas, ,Mehmet,4481,1278,FARMER OF 62 ACRES EMPLOYING 3 MEN AND 1 WOMAN,Alexander,Rossi,3904,Agnes,4472,Eildon Mains Scottish Borders,3904,FARMERS DAUGHTER,S,3278,4472
Sepp,2721,,MAY,B,4060,,3593,Agnes,1910,3593,3100,"1 Hillhead, Scottish Borders",Sepp,White,Sanchez,13,,Sanchez,3593,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Hillhead, Scottish Borders",3264,,3100,36,Jessica,22,FARMER OF 20 ACRES EMPLOYING 1 MAN,Patrick,FISHERMAN,James,2721,1280,COAL PIT ENGINE KEEPER,John,Garcia,4060,Agnes,3334,,4060,COOK,S,3264,3334
Flores,3173,,SEPTEMBER,B,4120,,4029,Hannah,1910,4029,3055,"1 Duthie Gardens, Coplandhill, Aberdeenshire",Flores,Garcia,Rivera,14,,Rivera,4029,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 James Street, Stotfield, Lossiemouth",3002,,3055,20,Ellen,17,SCHOLAR,James,PLOUGHMAN,John,3173,1281,COLOR MIXER,James,Fernandez,4120,Charolina,3114,Na h-Eileanan Siar,4120,SCHOLAR,S,3002,3114
Moreau,4609,,FEBRUARY,B,3728,,4612,Marie,1911,4612,3725,"1 Harbour Road, Tayport, Fife",Moreau,Perez,Schroeder,27,,Schroeder,4612,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Blaeloch Drive, Simshill, Glasgow City",3726,,3725,27,Lena,31, ,Aaron, ,Jozef,4609,1287,SHEPHERD,Aaron,Vasquez,3728,Chiara,4610,Letham Perth and Kinross,3728,DRESSMAKER,S,3726,4610
Prochazka,5209,,NOVEMBER,B,6310,,6049,Terresa,1973,6049,5658,"1 Cearcall Dhunmhor, Na h-Eileanan Siar",Prochazka,Andersson,Babic,8,,Babic,6049,SYNTHETIC DATA PRODUCED USING VALIPOP,"3 Braehouse, Scottish Borders",5286,,5658,26,Grace,20,DRAPER,Mustafa,COTTON WEAVER,John,5209,2104,CARPENTER,John,Larsson,6310,Penelepy,5298,Maybole South Ayrshire,6310, ,S,5286,5298
WILLIAMS,2417,,JULY,B,4303,,3535,Venla,1911,3535,4301,"1 Victoria Place, Stranraer, Dumfries and Galloway",WILLIAMS,Larsson,Iliev,29,,Iliev,3535,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Semple Avenue, Renfrewshire",4302,,4301,35,Ann,24,COAL MINER,Aleksi,CALICO PRINTER,Alexander,2417,1288, ,James,Butkus,4303,Amy,2744,Argyll and Bute,4303,TEACHER,S,4302,2744
Krajnc,4471,,JUNE,B,4006,,4477,Julie,1911,4477,3103,"1 Lochwood Loan, Croftfoot, Moodiesburn",Krajnc,Kaya,Visser,30,,Visser,4477,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Weensmoore, Scottish Borders",3627,,3103,25,Ella,21,AGRICULTRER LABROUR,Hugh,PUBLICAN,Vytautas,4471,1289,FURNACE KEEPER,Aaron,Zhu,4006,Mary,4472,Dalgety Bay Fife,4006,DOMESTIC SERV,S,3627,4472
Wozniak,3085,,JANUARY,B,4096,,4095,Mathilda,1911,4095,2929,"1 Leideag, Na h-Eileanan Siar",Wozniak,Li,Larsson,6,,Larsson,4095,SYNTHETIC DATA PRODUCED USING VALIPOP,"40 Ard Struan Road, Highland",3266,,2929,18,Jane,18,SCHOLAR,Alexander,FLAX YARN BLEACHER (WASHER),William,3085,1290,FARMER OF 4 ACRES,David,Brown,4096,Martha,3268,Aberdeenshire,4096,SCHOLAR,S,3266,3268
Pena,4409,,JUNE,B,4098,,4411,Annie,1911,4411,2923,"1 Smollett Road, Silverton, Dumbarton",Pena,Meijer,Kovacevic,16,,Kovacevic,4411,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Haddo Crescent, Aberdeenshire",3296,,2923,19,Telma,19, ,John,PLOUGHMAN,Simon,4409,1291,JUTE WEAVER,Antoine,Kovalchuk,4098,Mary,4410,Highland,4098, ,S,3296,4410
Tkachenko,4035,,MARCH,D,4094,,4037,Agnes,1911,4037,3100,"2 Bracklinn Road, Drumardoch Farm, Callander",Tkachenko,Hernandez,Sanchez,8,,Sanchez,4037,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Carr Crescent, Crail, Fife",3264,,3100,28,Mateja,22,PLOUGH MAN,Patrick, ,Tiago,4035,1292,COAL PIT ENGINE KEEPER,Julen,Garcia,4094,Jane,4036,,4094, ,S,3264,4036
Garcia,2849,,MAY,B,3788,,3751,Ester,1912,3751,2451,"121 Kirkhill, Dumfries and Galloway",Garcia,Paulauskas,Garcia,23,,Garcia,3751,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Grubbit Mill, Scottish Borders",2666,,2451,30,Mary,28,JOINER,James,BAKER JOURNEYMAN,John,2849,1296,PAUPER (FORMERLY C WEAVER),Walter,Smith,3788,Nellie,2854,Girvan South Ayrshire,3788,STEAM LOOM WEAVER,S,2666,2854
Jones,2859,,JUNE,B,4347,,3899,Maia,1912,3899,4341,"2183 Main Street, South Ayrshire",Jones,Soto,Harris,27,,Harris,3899,SYNTHETIC DATA PRODUCED USING VALIPOP,"46 Marmion Drive, Caskieberran, Fife",4342,,4341,26,Maria,25,LABOURER,Jack,MASON,Sam,2859,1297,FARMER OF 30 ACRES,Matthew,Schulz,4347,Irena,2778,Wilton Hawick ,4347,FLAX SPINER,S,4342,2778
Larsson,3480,,SEPTEMBER,B,4440,,4117,Aoi,1912,4117,4436,"1 Fladda Crescent, Portree, Highland",Larsson,Soto,Morales,10,,Morales,4117,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Mount Crescent, Dufftown, Moray",4437,,4436,19,Isabella,16,SCHOLAR,Veeti,FUND HOLDER,William,3480,1298,DAIRYMAN,Javier,Carvalho,4440,Marie,2948,Portree Highland,4440,SCHOLAR,S,4437,2948
Ilves,4272,,OCTOBER,B,4376,,4274,Olivia,1913,4274,4370,"1 Chapel, Fife",Ilves,Castillo,Williams,16,,Williams,4274,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 George Terrace, St Monans, Fife",4371,,4370,19,Hannah,25,SCHOLAR,James,WEAVER,Roberto,4272,1303,FARMER,Ren,Perez,4376,Ellie,4273,Hillpark Bannockburn ,4376,DOMESTIC SERVT,S,4371,4273
Schmidt,3186,,JULY,B,3940,,3939,Isabella,1913,3939,3087,"102 Kettil'stoun Crescent, Linlithgow Bridge, Linlithgow",Schmidt,Nguyen,Prochazka,21,,Prochazka,3939,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Salisbury Terrace, Broomhill, Aberdeen City",3084,,3087,26,Anna,27,PT SOLDIER 92ND HIGHLANDERS,Charles,PLASTERER,Thomas,3186,1304,HEDDLER & MOUNTER,Luke,Rodriguez,3940,Robina,3372,Highland,3940,DOMESTIC SERV,S,3084,3372
Dumitru,5205,,FEBRUARY,B,6118,,6169,Margaret,1970,6169,4817,"58 Douglas Square, Scottish Borders",Dumitru,Larsson,Wozniak,20,,Wozniak,6169,SYNTHETIC DATA PRODUCED USING VALIPOP,"1592 Castle Road, South Ayrshire",4870,,4817,18,Isabella,19,SCHOLAR,Andrew,OFFICER OF INLAND REVNUE (EXCISE),Angus,5205,2054,LATH SPLITTER,John,Szabo,6118,Margaret,5296,Hownam Grange Scottish Borders,6118,SCHOLAR,S,4870,5296
Wm,1699,,JANUARY,B,1962,,2502,Nicole,1857,2502,1211,"2 Milton Wynd, South Ayrshire",James,WILLIAMS,WILLIAMS,5,,WILLIAMS,2502,SYNTHETIC DATA PRODUCED USING VALIPOP,"631 Manse Road, North Ayrshire",1516,,1211,1?,Elizabeth,38,SCH,Alexander,LABOU?ER,Bolkvadze,1699,803,AG LABOURE?,Bolkvadze,Markovic,1962,Euphemia,1618,Heugh Scottish Borders,1962, ,S,1516,1618
Krajnc,4471,,NOVEMBER,B,4638,,4475,Alba,1913,4475,4636,"1 Lochwood Loan, Croftfoot, Moodiesburn",Krajnc,Kaya,Brown,6,,Brown,4475,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 The Howe, Letham & District, Angus",4637,,4636,19,Ella,20, ,Daniel,PUBLICAN,Dominykas,4471,1306, ,Aaron,,4638,Emma,4472,Westhaugh of Dalshian Perth and Kinross,4638,DOMESTIC SERV,S,4637,4472
Wozniak,3085,,JANUARY,?,4276,,4095,Hannah,1913,4095,4272,"1 St Nathans Road, Aberdeenshire",Wozniak,Li,Ilves,2,,Ilves,4095,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Leideag, Na h-Eileanan Siar",4273,,4272,24,Jane,25, ,Ren,FLAX YARN BLEACHER (WASHER),William,3085,1307,WEAVER,David,Castillo,4276,Sophie,3268,,4276,COAL MINER'S WIFE,S,4273,3268
Williams,4370,,FEBRUARY,B,4160,,4374,Agnes,1913,4374,3100,"1 George Terrace, St Monans, Fife",Williams,Perez,Sanchez,27,,Sanchez,4374,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Damside, Wallacetown, Ayr",3264,,3100,23,Olivia,18,SOLDIER,Patrick,FARMER,Jeremy,4370,1308,COAL PIT ENGINE KEEPER,James,Garcia,4160,Jane,4371,Grubbit Mill Scottish Borders,4160,SCHOLAR,S,3264,4371
James,2933,,JULY,missing,4162,,4025,Annie,1913,4025,2923,"1 Larkhall Burn, Glenburn Hall, Jedburgh",Gredo,Anderson,Kovrcevic,26,,Kovacevic,4025,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Haddo Crescent, Aberdeenshire",3296,,2923,23,Johan,19,IRON MINER,John,FARM SERVANT,Greco,2933,1309,JUTE WEAVER,Peter,Kovalchuk,4162,Mary,3086,Calton Campbeltown ,4162,SCHOLAR,S,3296,3086
Schroeder,2599,,AUGUST,B,4154,,3793,Grace,1913,3793,2803,"1 North Street, Borrowfield, Montrose",Schroeder,Larsson,Szabo,20,,Szabo,3793,SYNTHETIC DATA PRODUCED USING VALIPOP,"49 Whitestripes Path, Bridge of Don, Aberdeen City",3044,,2803,28,Rose,18,GROCER,Charles,AGRICULTURAL LABOURER,John,2599,1310,BLACKSMITH,John,Kristiansen,4154,Christina,2764,Portree Highland,4154,SCHOLAR,S,3044,2764
Prochazka,3005,,APRIL,B,4188,,4087,Ann,1914,4087,3733,"1 North Wolridge Gardens Lane, Aberdeenshire",Prochazka,Visser,Schroeder,30,,Schroeder,4087,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Orchard Park, Lessudden House, Scottish Borders",3074,,3733,22,Isabella,19,LOPPER,Sebastian,SHAWL WEAVER,John,3005,1313,SHEPHERD,Angus,Kristiansen,4188,Ellen,3046,Calton Campbeltown ,4188,SCHOLAR,S,3074,3046
Soto,3001,,MAY,B,4680,,3937,Samantha,1914,3937,4678,"2 Morven Crescent, Blackhouse, Peterhead",Soto,Harutyunyan,Juric,17,,Juric,3937,SYNTHETIC DATA PRODUCED USING VALIPOP,"32 Bridgend Crescent, Aberdeenshire",4679,,4678,26,Maggie,18,PLOUGHMAN,Clement,PLASTERER,James,3001,1314, ,Peter,,4680,Elzbieta,2988,Highland,4680, ,S,4679,2988
Mohamed,3045,,OCTOBER,B,4332,,4119,Isabella,1914,4119,3602,"1 Londubh Road, Highland",Mohamed,Rodriguez,Andersson,17,,Andersson,4119,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Tortorston Drive, Coplandhill, Aberdeenshire",3384,,3602,24,Jean,16,CLAY PIPE MAKER TOB,Nathan,BRICK MAKER,James,3045,1315,SPIRIT MERCHANT,John,Jones,4332,Mary,3004,Highland,4332, ,S,3384,3004
Szabo,2803,,AUGUST,B,4336,,4183,Alice,1914,4183,3109,"1 Loch Park Road, Target Stables, Hawick",Charles,Kristiansen,WILLIAMS,4,,WILLIAMS,4183,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Loch Park Road, Target Stables, Hawick",3924,,3109,22,Grace,missing,FISHERMAN,John,missing,John,2803,1316,LINEN WEAVER,Szabo,Jimenez,4336,e,3044,,4336, ,S,3924,3044
Nkuyen,3381,,MAY,B,4184,,4137,Visser,1915,4137,3005,"134 Fairview Grange, Bridge of Don, Aberdeen City",Nguyen,Delic,Prochazka,30,,Prochazka,4137,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 North Wolridge Gardens Lane, Aberdeenshire",3046,,3005,22,Ellen,?1,ENGRAVER LITHOGRAPHER,Angus,COALMINER,John,3381,1321,SHAWL WEAVER,Jamest,Isabella,4184,Cathrine,3352,Highland,4184,DOMESTIC SERVANT,S,3046,3352
de Boer,1793,,DECEMBER,B,2346,,2641,Samantha,1857,2641,2344,"1 Nelson Place, Dumfries and Galloway",de Boer,Garcia,Micallef,9,,Micallef,2641,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Nelson Place, Dumfries and Galloway",2345,,2344,18,Elizabeth,35,PAUPER,Ethan,SAILOR,Hugh,1793,805,COOPER,Alexander,Popescu,2346,Irem,1908,,2346,DRESS MAKER,S,2345,1908
Meier,4066,,APRIL,B,3500,,4068,Alison,1916,4068,2853,"17 Tyne Park, East Lothian",Meier,,Markovic,8,,Markovic,4068,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Duthie Gardens, Coplandhill, Aberdeenshire",2664,,2853,77,Maria,40,TAILOR,Andrew, ,Gustavo,4066,1329,TEACHER OF ENGLISH LATIN & MATHEMATICS & INSPECTOR OF POOR,Joao,White,3500,Jane,4067,Portree Highland,3500,GENERAL SERVT,D,2664,4067
Andersson,4822,,FEBRUARY,B,3876,,4824,Maggie,1916,4824,3001,"1 Baroness Drive, Hairmyres, South Lanarkshire",Andersson,Tran,Soto,14,,Soto,4824,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Morven Crescent, Blackhouse, Peterhead",2988,,3001,35,Maria,29, ,Peter, ,Noah,4822,1330,PLASTERER,Lukas,Harutyunyan,3876,Christina,4823,Highland,3876, ,S,2988,4823
Mohamed,3008,,28,B,4347,D,4059,Maia,1916,4059,4341,"2 Benrig Manse, Scottish Borders",Mohamed,Nguyej,Harsis,MAY,,Irena,4059,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Carrick Street, Girvan, South Ayrshire",4342,,4341,25,Amy,29,PLOUGHMAN,Jack,COTTAGER,Andrew,3008,1331,FARMER OF 30 ACRES,Victor,Schulz,4347,Harris,3369,Langholm Dumfries and Galloway,4347,FLAX SPINER,D,4342,3369
WILLIAMS,3109,,NOVEMBER,B,4030,,4065,Lisandra,1916,4065,2911,"1 Ailsa Place, Girvan, South Ayrshire",WILLIAMS,Jimenez,Grech,5,,Grech,4065,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Morven Crescent, Blackhouse, Peterhead",3371,,2911,24,Alice,25,PLOUGHMAN,Richard,LINEN WEAVER,John,3109,1332,FARMER'S SON,John,Nguyen,4030,Agnes,3924,Scottish Borders,4030, ,S,3371,3924
Szabo,2989,,MAY,S,4024,,4027,Mar?aret,1916,4027,2737,"253 Golf Course Road, Girvan, South Ayrshire",Willia,Markovic,Novak,15,,Novak,4027,SYNTHETIC DATA PRODUCED USING VALIPOP,"2 Glen Gardens, Braeleny Farm, Callander",3032,,2737,25,Isabella,25,MASON (JOURNEYMAN),John,PAINTER (JOURNEYMAN),David,2989,1333,FARMER OF z ACRES,Szabo,Anderson,4024,Margaret,3072,Rummond Fife,4024, ,S,3032,3072
Wozniak,3085,,MARCH,B,4032,,3947,Jane,1916,3947,3351,"1 Leideag, Na h-Eileanan Siar",Wozniak,Li,Anderson,31,,Anderson,3947,SYNTHETIC DATA PRODUCED USING VALIPOP,"1590 Castle Road, South Ayrshire",3300,,3351,29,Jane,25,CARTER,David,FLAX YARN BLEACHER (WASHER),George,3085,1334,HOUSE PAINTER,David,Brown,4032,Ruth,3268,Heatherknowe Aberdeenshire,4032,SCHOLAR,S,3300,3268
Grech,2825,,SEPTEMBER,B,4194,,4129,Elizabeth,1916,4129,3231,"1 John Simpson Drive, Stranraer, Dumfries and Galloway",Grech,Jones,Rivera,29,,Rivera,4129,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 St Ringan Drive, Castle Douglas, Dumfries and Galloway",3234,,3231,23,Christina,21,COTTON WEAVER,James,AG LAB,John,2825,1335,COAL MINER,George,Anderson,4194,Lillias,3174,Stranraer Dumfries and Galloway,4194,POWER LOOM WEAVER,S,3234,3174
Watanabe,2959,,APRIL,B,4262,,4155,Julie,1916,4155,3389,"1 Deeside Lane, Kaimhill, Aberdeen City",Watanabe,Rodriguez,Smith,26,,Smith,4155,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Weensmoore, Scottish Borders",3627,,3389,21,Mary,17,GENERAL LABOURER,Robert,AG LAB,James,2959,1336,COTTON WEAVER,Lachlan,Zhu,4262,Margaret,3112,South Ayrshire,4262, ,S,3627,3112
de Boer,2987,,SEPTEMBER,B,4258,,4125,Isabella,1916,4125,3087,"3 Girnick, Scottish Borders",de Boer,Kristiansen,Prochazka,10,,Prochazka,4125,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Salisbury Terrace, Broomhill, Aberdeen City",3084,,3087,23,Ann,18,RAILWAY LAB,Charles,AG OVERSEER,Andrew,2987,1337,HEDDLER & MOUNTER,Thomas,Rodriguez,4258,Jane,3074,Highland,4258,SCHOLAR,S,3084,3074
Soto,2883,,OCTOBER,B,3596,,3801,Ivana,1917,3801,3210,"2 Orchard Park, Lessudden House, Scottish Bo?ders",Willia,Kristiansen,Petrauskas,20,,Petrauskas,3801,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Demondale Place, Warddykes, Arbroath",3061,,3210,34,Ann,40,BAR MAN,Jojhua,WAREHOUSE PORTER,Georgb,2883,1342,GARDNER,Soto,Perera,3596,Bridget,3074,New Prestwick Prestwick ,3596, ,S,3061,3074
Maisuradze,2805,,NOVEMBER,B,2338,,2807,Elisabeth,1857,2807,1813,"1 Carlyle Terrace, North Bishopbrae, Bathgate",Maisuradze,,Harutyunyan,22,,Harutyunyan,2807,SYNTHETIC DATA PRODUCED USING VALIPOP,"1 Ashwell Place, Scottish Borders",1718,,1813,22,Kristyna,24,COTTON FINISHER,John, ,Julen,2805,806,LABOURER,Joshua,Schroeder,2338,Bella,2806,West Dunbartonshire,2338,CARPENTER DAUR,S,1718,2806
