Death,MOTHER_IDENTITY,father's forename,father's occupation,sex,FATHER_BIRTH_RECORD_IDENTITY,day of parents' marriage,place of parent's marriage,CHILD_IDENTITY,mother's occupation,family,illegit,DEATH_RECORD_IDENTITY,father's surname,MARRIAGE_RECORD_IDENTITY3,birth day,MARRIAGE_RECORD_IDENTITY2,PARENT_MARRIAGE_RECORD_IDENTITY,MARRIAGE_RECORD_IDENTITY1,month of parents' marriage,MARRIAGE_RECORD_IDENTITY4,MARRIAGE_RECORD_IDENTITY5,FATHER_IDENTITY,mother's forename,child's forname(s),mother's maiden surname,birth year,address,ID,MOTHER_BIRTH_RECORD_IDENTITY,notes,child's surname,marriage,year of parents' marriage,birth month
3669,2536,Nojus,COAL MINER,M,2976,26,Gretna Dumfries and Galloway,3669, ,823,,3669,Bonik,,7,,823,1188,NOVEMBER,,,2976,Janet,Walter,Rivera,1877,"1 Gretenhow, Gretna, Dumfries and Galloway",3669,2536,SYNTHETIC DATA PRODUCED USING VALIPOP,Bonik,823,1855,AUGUST
3671,2636,Adam,AGRICALL LAB,M,2730,26,Lessudden House Scottish Borders,3671, ,852,,3671,Sanchez,,14,,852,,MARCH,,,2730,Catherine,Jonnie,Williams,1877,"2 Jean Lawrie Court, Lessudden House, Scottish Borders",3671,2636,SYNTHETIC DATA PRODUCED USING VALIPOP,Sanchez,852,1862,APRIL
,2670,Richard,STONE MASON,M,2339,4,,3673, ,864,,,CONLLY,,9,,864,,MARCH,,,2339,Annie,John,Soto,1877,"2 Scaurs, Jedburgh, Scottish Borders",3673,2670,SYNTHETIC DATA PRODUCED USING VALIPOP,CONLLY,864,1865,JUNE
3675,3281,William,SEAMAN,M,2819,27,Three Bridges Inveraray ,3675,FAMILY SERVANT,968,,3675,WILLIAMS,,25,,968,1253,DECEMBER,,,2819,Fatma,James,Rossi,1877,"1 The Avenue, Three Bridges, Inveraray",3675,3281,SYNTHETIC DATA PRODUCED USING VALIPOP,WILLIAMS,968,1874,OCTOBER
,2746,Jeremy,COTTON WEAVER,M,2584,29,South Ayrshire,3677, ,881,,,Carvalho,,3,,881,1191,MAY,,,2584,Margaret,George,Hernandez,1877,"1589 Castle Road, South Ayrshire",3677,2746,SYNTHETIC DATA PRODUCED USING VALIPOP,Carvalho,881,1864,JANUARY
3522,2534,Harry,LABOURER AT ANYTHING,F,2463,27,Braeleny Farm Stirling,3522,DOMESTIC SERVANT,840,,3522,Brown,,5,,840,,JULY,,,2463,Jane,Marion,Hernandez,1872,"1 Geisher Road, Braeleny Farm, Stirling",3522,2534,SYNTHETIC DATA PRODUCED USING VALIPOP,Brown,840,1861,APRIL
3679,2860,George,JOINER,M,2801,18,Troon South Ayrshire,3679,LAUNDRY MAID,969,,3679,Sanchez,,20,,969,1238,SEPTEMBER,,,2801,Miu,William,Jones,1877,"1 Eglinton Crescent, Troon, South Ayrshire",3679,2860,SYNTHETIC DATA PRODUCED USING VALIPOP,Sanchez,969,1873,OCTOBER
,3334,John,TANNER,M,2721,22,The Luggie Lauder ,3681, ,888,,,Sepp,,18,,888,,JULY,,,2721,Jessica,James,White,1877,"1 Thirlestane Drive, The Luggie, Lauder",3681,3334,SYNTHETIC DATA PRODUCED USING VALIPOP,Sepp,888,1866,MARCH
,2992,William,STONE MASON,M,2997,23,Clackmannanshire,3683,HOUSEMAID,970,,,Visser,,7,,970,,FEBRUARY,,,2997,Catherine,John,Sepp,1877,"10 Glenhead Avenue, Clackmannanshire",3683,2992,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,970,1875,JULY
,3136,Alexander,LABOURER DOCK,M,2929,1,Highland,3685,SCHOLAR,972,,,Larsson,,1,,972,,FEBRUARY,,,2929,Isabella,Hugh,Greco,1877,"34 Gordon Brown Place, Highland",3685,3136,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,972,1876,AUGUST
3697,2450,Jeffrey,LABOURER,M,2977,18,Na h-Eileanan Siar,3697,BOOT BINDER,976,,3697,Greco,,26,,976,,DECEMBER,,,2977,Anne,Robert,Thill,1878,"1 Rathad na Horgh, Na h-Eileanan Siar",3697,2450,SYNTHETIC DATA PRODUCED USING VALIPOP,Greco,976,1876,APRIL
3699,2644,Thomas,LABOURER,M,2637,2,Braehead Prestwick ,3699,HAWKER,893,,3699,Thill,,18,,893,,JANUARY,,,2637,Johanna,Frederic,Soto,1878,"1 Cowan Crescent, Braehead, Prestwick",3699,2644,SYNTHETIC DATA PRODUCED USING VALIPOP,Thill,893,1865,JULY
3701,2666,James,SHOEMAKER,M,2451,14,Grubbit MillpScottish Borders,3701, ,928,,3701,Garcia,,18,,928,,JULY,,,2451,Ester,Garcia,Smith,1878,"2 Grubbit Mill, Scott8sh Borders",3701,2666,SYNTHETIC DATA PRODUCED USING VALIPOP,Jamest,928,1868,MARCH
3703,2698,Thomas,BLACKSMITH EMPLOYING 11 MEN & 11 BOYS,M,2650,9,,3703,BLEACHER,825,,3703,Rojas,,24,,825,,JULY,,,2650,Janet,Daniel,Markovic,1878,"87 Riverside Park, Highland",3703,2698,SYNTHETIC DATA PRODUCED USING VALIPOP,Rojas,825,1866,MAY
3705,2738,James,DRYSTONE MASON,M,2645,8,Littledean Scottish Borders,3705,TAILOR WIFE,880,,3705,Hernandez,,7,,880,,JANUARY,,,2645,Jennie,Alexander,Schroeder,1878,"1 Littledean, Scottish Borders",3705,2738,SYNTHETIC DATA PRODUCED USING VALIPOP,Hernandez,880,1864,JANUARY
3707,2768,Thomas,PLOUGHMAN,M,2691,24,South Ayrshire,3707,FLAX MILL WORKER,978,,3707,Fernandez,,12,,978,,DECEMBER,,,2691,Mary,James,de Boer,1878,"2 Auchans Drive, South Ayrshire",3707,2768,SYNTHETIC DATA PRODUCED USING VALIPOP,Fernandez,978,1875,AUGUST
3524,2638,Robert,PLOUGHMAN,F,2441,13,Southfield Scottish Borders,3524,DOMT SERVT,924,,3524,Delos Reyes,,14,,924,,NOVEMBER,,,2441,Catherine,Mary,Paulauskas,1872,"1 Southfield, Scottish Borders",3524,2638,SYNTHETIC DATA PRODUCED USING VALIPOP,Delos Reyes,924,1870,JANUARY
3709,3398,Lachlan,LABOURER,M,2959,11,,3709,PLUMBER WIFE,896,,3709,Watanabe,,25,,896,,JANUARY,,,2959,Amy,Robert,Liepins,1878,"1 Wilton Park Road, Wilton Dean, Hawick",3709,3398,SYNTHETIC DATA PRODUCED USING VALIPOP,Watanabe,896,1875,MAY
,2981,James,PLOUGHMAN,M,3051,28,Bridge of Don Aberdeen City,3711,DOMESTIC SERVANT,981,,,Rodriguez,,27,,981,,OCTOBER,,,3051,Kristyna,John,Greco,1878,"388 Lee Crescent North, Bridge of Don, Aberdeen City",3711,2981,SYNTHETIC DATA PRODUCED USING VALIPOP,Rodriguez,981,1875,JUNE
,3012,David,AG LABOURER,M,2509,30,South Ayrshire,3713,LATE HOUSE MAID,932,,,Thill,,19,,932,,JUNE,,,2509,Alessia,Mathew,Mohamed,1878,"1 Auchans Drive, South Ayrshire",3713,3012,SYNTHETIC DATA PRODUCED USING VALIPOP,Thill,932,1872,SEPTEMBER
3715,3011,Ethan,EMPLOYING 3 ? 1 BOY FARMER OF 140 ACRES,M,2980,22,Highland,3715,DOMESTIC SERVANT,952,,3715,Greco,,6,,952,,NOVEMBER,,,2980,Chloe,Peter,Mohamed,1878,"1 Rha Bank, Highland",3715,3011,SYNTHETIC DATA PRODUCED USING VALIPOP,Greco,952,1870,MAY
,2992,William,STONE MASON,M,2997,23,Clackmannanshire,3717,HOUSEMAID,970,,,Visser,,11,,970,,FEBRUARY,,,2997,Catherine,Thos,Sepp,1878,"10 Glenhead Avenue, Clackmannanshire",3717,2992,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,970,1875,JULY
3738,2384,Andrew,MASON,M,2695,15,Braehouse Scottish Borders,3738, ,990,,3738,Soto,,5,,990,,JULY,,,2695,Jane,William,Bolkvadze,1879,"1 Braehouse, Scottish Borders",3738,2384,SYNTHETIC DATA PRODUCED USING VALIPOP,Soto,990,1876,NOVEMBER
3739,2381,Walter,TEACHER,M,2573,20,Calton Campbeltown ,3739,FARM SERVANT,991,,3739,Giorgadze,,24,,991,,MAY,,,2573,Mary,Charles,Schroeder,1879,"1 St John Street, Calton, Campbeltown",3739,2381,SYNTHETIC DATA PRODUCED USING VALIPOP,Giorgadze,991,1876,FEBRUARY
3740,3158,Filip,AG LAB,M,2313,31,St Mary's Duns ,3740, ,849,,3740,Hernandez,,30,,849,,JULY,,,2313,Aada,James,Morozov,1879,"1 Earlsmeadow, St Mary's, Duns",3740,3158,SYNTHETIC DATA PRODUCED USING VALIPOP,Hernandez,849,1860,OCTOBER
3741,3185,Alvaro,MUSLIN WEAVER,M,3184,9,,3741, ,836,,3741,Schmidt,,27,,836,,FEBRUARY,,,3184,Emily,Alexander,Zammit,1879,"1 Preston, Cockenzie and Port Seton, East Lothian",3741,3185,SYNTHETIC DATA PRODUCED USING VALIPOP,Schmidt,836,1858,JUNE
3743,2638,Peter,PLOUGHMAN,M,2597,11,Argyll and Bute,3743,DOMT SERVT,967,,3743,WILLIAMS,,31,,967,,NOVEMBER,,,2597,Catherine,James,Paulauskas,1879,"1 Brochroy Croft, Argyll and Bute",3743,2638,SYNTHETIC DATA PRODUCED USING VALIPOP,WILLIAMS,967,1874,MAY
3076,2428,William,IRONMONGER LAB,F,2117,12,Troon South Ayrshire,3076, ,804,,3076,Larsson,,17,,804,,NOVEMBER,,,2117,Michela,Jane,Jones,1857,"2 Darley Place, Troon, South Ayrshire",3076,2428,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,804,1853,MAY
3526,2672,Joao,PLOUGHMAN,F,3211,11,The Holmes Scottish Borders,3526,COTTON MILL WORKER,925,,3526,Petrauskas,,13,,925,,NOVEMBER,,,3211,Jessie,Joann,Hernandez,1872,"1 Buccleuch Gardens, The Holmes, Scottish Borders",3526,2672,SYNTHETIC DATA PRODUCED USING VALIPOP,Petrauskas,925,1868,OCTOBER
,2718,Aleecsander,PLOUGHMAN,M,2438,28,,3745, ,956,illegitimate,,Markovic,,4,,956,,APRI,,,2438,A,George,Novak,1879,"105 Courthill Street, Dalry, North Ayrshire",3745,2718,SYNTHETIC DATA PRODUCED USING VALIPOP,Markovic,956,1877,JUNE
3747,2764,James,TAYLOR,M,2881,26,Girvan South Ayrshire,3747,GROCER,905,,3747,Jones,,26,,905,,OCTOBER,,,2881,Rose,Alexander,Larsson,1879,"1 Ailsa Place, Girvan, South Ayrshire",3747,2764,SYNTHETIC DATA PRODUCED USING VALIPOP,Jones,905,1867,MARCH
,2772,William,LABOURER,M,2731,17,Girvan South Ayrshire,3749,SERVANT,904,,,HUNTER,,11,,904,,MARCH,,,2731,Agnes,Andrew,Virtanen,1879,"32 Knockcushan Street, Girvan, South Ayrshire",3749,2772,SYNTHETIC DATA PRODUCED USING VALIPOP,HUNTER,904,1866,SEPTEMBER
3751,2854,Walter,LABOURER,M,2849,20,Girvan South Ayrshire,3751,DOMESTIC SER,982,,3751,Garcia,,11,,982,1296,SEPTEMBER,,,2849,Mary,John,Paulauskas,1879,"735 Golf Course Road, Girvan, South Ayrshire",3751,2854,SYNTHETIC DATA PRODUCED USING VALIPOP,Garcia,982,1875,APRIL
,2848,John,DOCK LAB,M,2831,23,Girvan South Ayrshire,3753, ,919,,,Visser,,10,,919,,JUNE,,,2831,Elizabeth,William,Larsson,1879,"1 Smith Crescent, Girvan, South Ayrshire",3753,2848,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,919,1868,JUNE
3755,3000,Harutyunyan,missing,M,2907,MAY,Scaurs Jedburgh ,3755,DOMESTIC SERVANT,993,,3755,Francis,,16,,993,1233,21,,,2907,Polly,Joho,Larsson,1879,"1 Hartrigge Road, Scaurs, Jedburgh",3755,3000,SYNTHETIC DATA PRODUCED USING VALIPOP,Harudyunyan,993,1876,JANUARY
3757,3332,Roberd,ENGINE KEEPER WORKS AT COAL PIT,M,3113,11,,3757,COTTON POWE LOOM WEAVER,994,,3757,Anderson,,18,,994,,AUGkST,,,3113,Ruby,Anderson,White,1879,"1 Haughead, Scottish Borders",3757,3332,SYNTHETIC DATA PRODUCED USING VALIPOP,Daiel,994,1881,SEPTEMBER
,3136,Bartholomew,STONE DRESSER,M,2993,7,Buailledubh Na h-Eileanan Siar,3759,SCHOLAR,984,,,Brankov,,30,,984,,JUNE,,,2993,Isabella,William,Greco,1879,South Korea,3759,3136,SYNTHETIC DATA PRODUCED USING VALIPOP,Brankov,984,1878,OCTOBER
,3511,Murdo,NORMAL STUDENT,M,2855,9,Borrowfield Montrose ,3761, ,997,,,Guo,,6,,997,,OCTOBER,,,2855,Sofia,Thomas,Shala,1879,"1 Mill Square, Borrowfield, Montrose",3761,3511,SYNTHETIC DATA PRODUCED USING VALIPOP,Guo,997,1879,NOVEMBER
3777,2490,Thomas,ENGINE SMITH,M,1909,28,Auchterarder Perth and Kinross,3777, ,781,,3777,Harutyunyan,,17,,781,,AUGUST,,,1909,Sanne,William,Soto,1880,"1 Ruthven Park, Auchterarder, Perth and Kinross",3777,2490,SYNTHETIC DATA PRODUCED USING VALIPOP,Harutyunyan,781,1850,FEBRUARY
3528,3425,James,MINISTER OF EPISCOPAL CHURCH,F,2603,30,Hillhouse South Lanarkshire,3528, ,927,,3528,Sepp,,3,,927,,MARCH,,,2603,Catalina,Hannah,Karlsson,1872,"1 St Ninian's Place, Hillhouse, South Lanarkshire",3528,3425,SYNTHETIC DATA PRODUCED USING VALIPOP,Sepp,927,1870,FEBRUARY
3779,2381,Walter,HOUSE PAINTER,M,2573,20,Calton Campbeltown ,3779,FARM SERVANT,991,,3779,Giorgadze,,18,,991,,MAY,,,2573,Mary,Kenneth,Schroeder,1880,"1 St John Street, Calton, Campbeltown",3779,2381,SYNTHETIC DATA PRODUCED USING VALIPOP,Giorgadze,991,1876,JUNE
3781,2526,Peter,HOTEL KEEPER,M,2129,17,Aberdeenshire,3781, ,808,,3781,Prochazka,,4,,808,,AUGUST,,,2129,Siiri,Gideon,Shevchuk,1880,"1 Ritchie Place, Aberdeenshire",3781,2526,SYNTHETIC DATA PRODUCED USING VALIPOP,Prochazka,808,1855,SEPTEMBER
3783,2861,John,LINEN WEAVER,M,2511,31,South Ayrshire,3783, ,832,,3783,CONLLY,,12,,832,,MARCH,,,2511,Sara,Alexander,Jones,1880,"1 Springs Park, South Ayrshire",3783,2861,SYNTHETIC DATA PRODUCED USING VALIPOP,CONLLY,832,1857,MAY
3785,3400,Pablo,LABOURER,M,3337,9,The Holmes Scottish Borders,3785,SHIP CARPENTER'S WIFE,926,,3785,White,,11,,926,,OCTOBER,,,3337,Maria,Robert,Liepins,1880,"1 The Croft, The Holmes, Scottish Borders",3785,3400,SYNTHETIC DATA PRODUCED USING VALIPOP,White,926,1868,APRIL
3787,3425,James,MINISTER OF EPISCOPAL CHURCH,M,2603,30,Hillhouse South Lanarkshire,3787,FARMERS WIFE,927,,3787,Sepp,,6,,927,,MARCH,,,2603,Catalina,Willia,Karlsson,1880,"1 St Ninian's Place, Hillhouse, South Lanarkshire",3787,3425,SYNTHETIC DATA PRODUCED USING VALIPOP,Sepp,927,1870,APRIL
3789,2749,Joao,H L LINEN WEAVER,M,3036,5,,3789, ,1006,,3789,Green,,27,,1006,,SEPTEMBER,,,3036,Lea,John,Flores,1880,"1 Old Edinburgh Road, Dumfries and Galloway",3789,2749,SYNTHETIC DATA PRODUCED USING VALIPOP,Green,1006,1881,MAY
,2770,Andrew,ENGINEER (JOURNEYMAN),M,2945,23,Weensmoore Scottish Borders,3791,BLEACHER,1007,,,Visser,,8,,1007,,MAY,,,2945,Bathia,William,Szabo,1880,"1 Weensmoore, Scottish Borders",3791,2770,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,1007,1878,JULY
,2764,John,WOOLEN FLEARTH RUG MAKER,M,2599,22,Weensmoore Scottish Borders,3793,GROCER,1008,,,Schroeder,,28,,1008,1310,MARCH,,,2599,Rose,John,Larsson,1880,"2 Weensmoore, Scottish Borders",3793,2764,SYNTHETIC DATA PRODUCED USING VALIPOP,Schroeder,1008,1880,NOVEMBER
3795,2798,Lukas,GENERAL LABOURER,M,2891,11,Dalry North Ayrshire,3795,SEAMSTRESS,980,,3795,Lopez,,6,,980,1263,JULY,,,2891,Annie,Jas,Celik,1880,"1 Russell Drive, Dalry, North Ayrshire",3795,2798,SYNTHETIC DATA PRODUCED USING VALIPOP,Lopez,980,1875,AUGUST
,3011,Ethan,missing,M,2980,NOVEMBER,Hihhland,3797,DOMESTIC SERVANT,952,,,Greco,,21,,952,,22,,,2980,Chloe,Greko,Mohamed,1880,"1 Rha Bank, Highland",3797,3011,SYNTHETIC DATA PRODUCED USING VALIPOP,Andrew,952,1870,DECEMBER
,2670,Richard,STONE MASON,F,2339,4,,3530, ,864,,,CONLLY,,18,,864,,MARCH,,,2339,Annie,Margaret,Soto,1872,"2 Scaurs, Jedburgh, Scottish Borders",3530,2670,SYNTHETIC DATA PRODUCED USING VALIPOP,CONLLY,864,1865,JULY
3799,3046,Angus,SAILOR MERCHANT SERVICE,M,3005,26,Girvan South Ayrshire,3799,PLUMBERS DAUGHTER,1009,,3799,Prochazka,,13,,1009,1246,OCTOBER,,,3005,Isabella,Robert,Visser,1880,"33 Knockcushan Street, Girvan, South Ayrshire",3799,3046,SYNTHETIC DATA PRODUCED USING VALIPOP,Prochazka,1009,1878,NOVEMBER
3801,3074,Willia,ENGINEER FINISHER,M,2883,14,South Ayrshire,3801,FLAX MILL WORKER,995,,3801,Soto,,18,,995,1342,JANUARY,,,2883,Ann,George,Kristiansen,1880,"1 Milton Wynd, South Ayrshire",3801,3074,SYNTHETIC DATA PRODUCED USING VALIPOP,Soto,995,1875,MARCH
,3268,David,LABOURER IN IRON WORK,M,3085,26,Aberdeenshire,3803, ,1011,,,Wozniak,,13,,1011,1207,JANUARY,,,3085,Jane,Robert,Li,1880,"1 Kinmonth Road, Aberdeenshire",3803,3268,SYNTHETIC DATA PRODUCED USING VALIPOP,Wozniak,1011,1880,SEPTEMBER
3822,2204,Connor,GROCER AND SPIRIT MERCHANT,M,2549,31,,3822,INVALID,1003,,3822,Lavoie,,18,,1003,,MAY,,,2549,Maggie,John,Visser,1881,"1 Hospitalfield, Angus",3822,2204,SYNTHETIC DATA PRODUCED USING VALIPOP,Lavoie,1003,1880,APRIL
3823,2340,Robin,LABOURER,M,2703,21,Highland,3823, ,783,,3823,Rodriguez,,10,,783,,OCTOBER,,,2703,?ary,A,?ivera,1881,"33 Gordon Brown Place, Highland",3823,2340,SYNTHETIC DATA PRODUCED USING VALIPOP,Rodriguej,783,1850,SEPTEMBER
3825,2381,Walter,HOUSE PAINTER,M,2573,20,Calton Campbeltown ,3825,FARM SERVANT,991,,3825,Giorgadze,,12,,991,,MAY,,,2573,Mary,James,Schroeder,1881,"1 St John Street, Calton, Campbeltown",3825,2381,SYNTHETIC DATA PRODUCED USING VALIPOP,Giorgadze,991,1876,NOVEMBER
3827,2480,Duncan,COAL MINER,M,2513,15,Girvan South Ayrshire,3827, ,815,,3827,Garcia,,5,,815,,APRIL,,,2513,Catherine,Robert,Szabo,1881,"1 Knockcushan Street, Girvan, South Ayrshire",3827,2480,SYNTHETIC DATA PRODUCED USING VALIPOP,Garcia,815,1856,APRIL
3829,3658,Carlos,SHOE MAKER,M,3657,8,,3829, ,963,,3829,Martinez,,20,,963,,DECEMBER,,,3657,Amy,David,Bruno,1881,"1 Cunninghar Road, Jessiehill Cottages, West Lothian",3829,3658,SYNTHETIC DATA PRODUCED USING VALIPOP,Martinez,963,1865,OCTOBER
3831,3726,Aaron, ,M,3725,4,,3831, ,987,,3831,Schroeder,,21,,987,,MARCH,,,3725,Marie,Robert,Vasquez,1881,"1 Blaeloch Drive, Simshill, Glasgow City",3831,3726,SYNTHETIC DATA PRODUCED USING VALIPOP,Schroeder,987,1865,JULY
3833,3398,Lachlan,LABOURER,M,2959,11,,3833,PLUMBER WIFE,896,,3833,Watanabe,,7,,896,,JANUARY,,,2959,Amy,James,Liepins,1881,"1 Wilton Park Road, Wilton Dean, Hawick",3833,3398,SYNTHETIC DATA PRODUCED USING VALIPOP,Watanabe,896,1875,JUNE
3532,2720,Henry,IRON PLAINER,F,2569,28,Dalry North Ayrshire,3532,DOMESTIC SERV,872,,3532,Fernandez,,19,,872,,OCTOBER,,,2569,Janet,Margaret,Hernandez,1872,"3 Garnock Street, Dalry, North Ayrshire",3532,2720,SYNTHETIC DATA PRODUCED USING VALIPOP,Fernandez,872,1862,MAY
,2854,Walter,BAKER JOURNEYMAN,M,2849,20,Girvan South Ayrshire,3835, ,982,,,Garcia,,1,,982,,SEPTEMBER,,,2849,Mary,Norman,Paulauskas,1881,"735 Golf Course Road, Girvan, South Ayrshire",3835,2854,SYNTHETIC DATA PRODUCED USING VALIPOP,Garcia,982,1875,JANUARY
3837,3012,Thill,AG LABOURER,M,2509,30,South Ayrshire,3837,DRESSMAKER,932,,3837,D,,9,,932,,JUNE,,,2509,Alezsia,Jmhn,Mohamed,1881,"1 Auchans Drive, South Ayrshire",3837,3012,SYNTHETIC DATA PRODUCED USING VALIPOP,Thill,932,1872,JANUARY
3839,3397,Jozef,CHAPLAIN OF JAIL & PARISH MISSIONERY HAMILTON,M,3280,7,West End Scottish Borders,3839,GENERAL SERVT,1020,,3839,Rossi,,5,,1020,,SEPTEMBER,,,3280,Mia,John,Liepins,1881,"1 Whitehaugh View, West End, Scottish Borders",3839,3397,SYNTHETIC DATA PRODUCED USING VALIPOP,Rossi,1020,1878,NOVEMBER
3841,3088,Robert,SAW MILLER,M,3135,6,Rummond Fife,3841,INN KEEPERS DAUR,1021,,3841,Larsson,,20,,1021,,APRIL,,,3135,Margaret,Alexander,Sanchez,1881,"1 Kinnear Court, Rummond, Fife",3841,3088,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,1021,1879,JULY
3843,3074,Willia,WAREHOUSE PORTER,M,2883,14,South Ayrshire,3843,FLAX MILL WORKER,995,,3843,Soto,,7,,995,1206,JANUARY,,,2883,Ann,Angus,Kristiansen,1881,"1 Milton Wynd, South Ayrshire",3843,3074,SYNTHETIC DATA PRODUCED USING VALIPOP,Soto,995,1875,JUNE
3845,3266,Alexander,LABOURER DOCK,M,2929,24,,3845, ,1023,illegitimate,3845,Larsson,,29,,1023,1218,MAY,,,2929,Mathilda,David,Brown,1881,"1 Broad Lane, Moray",3845,3266,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,1023,1887,AUGUST
3848,3847,Jesse, ,M,3846,20,,3848, ,1024,,3848,Huseynov,,1,,1024,1245,SEPTEMBER,,,3846,Susana,Mantas,,1881,"1 Mossvale Square, Craigend, Glasgow City",3848,3847,SYNTHETIC DATA PRODUCED USING VALIPOP,Huseynov,1024,1875,DECEMBER
3869,3398,Lachlan,PLOUGHMAN,M,2959,11,,3869,PLUMBER WIFE,896,,3869,Watanabe,,24,,896,,JANUARY,,,2959,Amy,Wm,Liepins,1882,"1 Wilton Park Road, Wilton Dean, Hawick",3869,3398,SYNTHETIC DATA PRODUCED USING VALIPOP,Watanabe,896,1875,NOVEMBER
3871,2824,Aaron, ,M,3854,30,Riccarton Kilmarnock ,3871, ,1032,,3871,Bogdanov,,2,,1032,,AUGUST,,,3854,Jane,John,Sanchez,1882,"1 Inchmurrin Drive, Riccarton, Kilmarnock",3871,2824,SYNTHETIC DATA PRODUCED USING VALIPOP,Bogdanov,1032,1879,AUGUST
,3856,Rne, ,M,3855,23,,3873, ,1027,,,Rodriguez,,19,,1027,,JUNE,,,3855,Anna,missing,missing,1882,"73 Croft Wynd, Moorlands, South Lanarkshire",3873,3856,SYNTHETIC DATA PRODUCED USING VALIPOP,Wm,1027,1868,MARCH
3536,3277,James,AG LAB,F,2795,9,Berryhill Strathaven ,3536, ,929,missing,3536,HUNTER,,2,,929,,FEBRUARY,,,2795,Milana,Anne,Rossi,1872,"1 Pinewood Walk, Beeryhill, Strathaven",3536,3277,SYNTHETIC DATA PRODUCED USING VALIPOP,HUNTeR,929,1868,JANUARY
3875,2932,John,RAILWAY CLERK,M,2931,2,Stranraer Dumfries and Galloway,3875,MILLINER,959,,3875,Larsson,,28,,959,1262,JUNE,,,2931,Mary,James,Szabo,1882,"1 Finnart Crescent, Stranraer, Dumfries and Galloway",3875,2932,SYNTHETIC DATA PRODUCED USING VALIPOP,Larsson,959,1873,MARCH
,2992,William,STONE MASON,M,2997,23,Clackmannanshire,3877,HOUSEMAID,970,,,Visser,,29,,970,,FEBRUARY,,,2997,Catherine,George,Sepp,1882,"10 Glenhead Avenue, Clackmannanshire",3877,2992,SYNTHETIC DATA PRODUCED USING VALIPOP,Visser,970,1875,APRIL
3879,3332,Robert,ENGINE KEEPER WORKS AT COAL PIT,M,3113,11,,3879,COTTON POWE LOOM WEAVER,994,,3879,Anderson,,26,,994,,AUGUST,,,3113,Ruby,James,White,1882,"1 Haughead, Scottish Borders",3879,3332,SYNTHETIC DATA PRODUCED USING VALIPOP,Anderson,994,1881,JANUARY
,3766,Tobias, ,M,3765,7,,3881,SERV,999,,,Lindholm,,28,,999,,JUNE,,,3765,Emily,Joseph,Gutu,1882,"1 St Ringan Drive, Castle Douglas, Dumfries and Galloway",3881,3766,SYNTHETIC DATA PRODUCED USING VALIPOP,Lindholm,999,1878,MAY
3893,2381,Walter,HOUSE PAINTER,M,2573,20,Calton Campbeltown ,3893,FARM SERVANT,991,,3893,Giorgadze,,14,,991,,MAY,,,2573,Mary,John,Schroeder,1883,"1 St John Street, Calton, Campbeltown",3893,2381,SYNTHETIC DATA PRODUCED USING VALIPOP,Giorgadze,991,1876,DECEMBER
3895,2644,Thomas,BASKET MAKER,M,2637,2,Braehead Prestwick ,3895, ,893,,3895,Thill,,18,,893,,JANUARY,,,2637,Johanna,Peter,Soto,1883,"1 Cowan Crescent, Braehead, Prestwick",3895,2644,SYNTHETIC DATA PRODUCED USING VALIPOP,Thill,893,1865,AUGUST
3897,2698,Thomas,BLACKSMITH EMPLOYING 11 MEN & 11 BOYS,M,2650,9,,3897,BLEACHER,825,,3897,Rojas,,8,,825,1343,JULY,,,2650,Janet,James,Markovic,1883,"87 Riverside Park, Highland",3897,2698,SYNTHETIC DATA PRODUCED USING VALIPOP,Rojas,825,1866,APRIL
3899,2778,Matthew,MANAGER AT PRINTFIELD,M,2859,22,South Ayrshire,3899, ,918,,3899,Jones,,24,,918,1297,APRIL,,,2859,Maria,Sam,Soto,1883,"2183 Main Street, South Ayrshire",3899,2778,SYNTHETIC DATA PRODUCED USING VALIPOP,Jones,918,1868,OCTOBER
,2764,Alessandro,BOOTMAKER,M,3630,27,Borrowfield Montrose ,3901,GROCER,1040,,,Gelashvili,,2,,1040,1192,JUNE,,,3630,Rose,John,Larsson,1883,"1 North Street, Borrowfield, Montrose",3901,2764,SYNTHETIC DATA PRODUCED USING VALIPOP,Gelashvili,1040,1882,NOVEMBER
,3856,Rne, ,M,3855,JUNE,,3903,missing,1027,,,Rodriguez,,30,,1027,,23,,,3855,Anna,missing,Paulauskas,1883,"73 Croft Wynd, Moorlands, South Lanarkshire",3903,3856,SYNTHETIC DATA PRODUCED USING VALIPOP,Rodriguez,1027,1868,AUGUST
3538,2876,Robert,PLOUGHMAN,F,2441,,,3538,SCHOLAR,931,illegitimate,3538,Delos Reyes,,18,,,,,,,2441,Elizath,Agnes,Szabo,1872,,3538,2876,SYNTHETIC DATA PRODUCED USING VALIPOP,Delos Reyes,,,AUGUST
