ID,day,month,year,place of marriage,forename of groom,surname of groom,occupation of groom,marital status of groom,age of groom,address of groom,forename of bride,surname of bride,occupation of bride,marital status of bride,age of bride,address of bride,groom's father's forename,groom's father's surname,groom's father's occupation,if groom's father deceased,groom's mother's forename,groom's mother's maiden surname,if groom's mother deceased,bride's father's forename,bride's father's surname,bride's father's occupation,if bride's father deceased,bride's mother's forename,bride's mother's maiden surname,if bride's mother deceased,notes1,gdeath,bdeath,GROOM_IDENTITY,BRIDE_IDENTITY,GROOM_MOTHER_IDENTITY,GROOM_FATHER_IDENTITY,BRIDE_MOTHER_IDENTITY,BRIDE_FATHER_IDENTITY,GROOM_BIRTH_RECORD_IDENTITY,BRIDE_BIRTH_RECORD_IDENTITY,GROOM_FATHER_BIRTH_RECORD_IDENTITY,GROOM_MOTHER_BIRTH_RECORD_IDENTITY,BRIDE_FATHER_BIRTH_RECORD_IDENTITY,BRIDE_MOTHER_BIRTH_RECORD_IDENTITY
1052,10,JANUARY,1884,"Broomhill Aberdeen City",Charles,Prochazka,RAILWAY CLERK,B,23,"1 Ritchie Place, Aberdeenshire",Isabella,Rodriguez,FACTORY SPINNER,S,24,"33 Gordon Brown Place, Highland",Peter,Prochazka,HOTEL KEEPER,,Siiri,Shevchuk,,Robin,Rodriguez,LABOURER,,Mary,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,3087,3084,3087,3084,2526,2129,2340,2703,3087,3084,2129,2526,2703,2340
1053,17,OCTOBER,1884,"Benrig Manse Scottish Borders",Victor,Mohamed,CABINET MAKER JOURNEYMAN,B,26,"1 Maconochie Place, Broadsea, Fraserburgh",Amy,Nguyen,SCHOLAR,S,17,"1 Underbank, Largs, North Ayrshire",Michael,Mohamed,FARMER OF 7 ACRES,,Sophie,Karlsson,,Vytautas,Nguyen,CROFT OF 3 ACRES SHOEMAKERS (EMPG 2 MEN),,Hannah,Ozdemir,,SYNTHETIC DATA PRODUCED USING VALIPOP,3008,3369,3008,3369,3007,3006,3367,3366,3008,3369,3006,3007,3366,3367
1058,11,JUNE,1885,"Scottish Borders",Bernard,Harutyunyan,SHOE MAKER,W,43,"1 Smedheugh, Scottish Borders",Jane,Soto,MASON'S WIFE,W,33,"175 Torcy Drive, South Ayrshire",George,Harutyunyan,DRUGGIST PORTER,,Isabella,Markovic,,Tyler,Soto,PRIVATE WATCHMAN,,Elizabeth,Fernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,2601,2908,2601,2908,1946,1791,2202,2491,2601,2908,1791,1946,2491,2202
1059,28,SEPTEMBER,1885,"Highland",John,Kovacevic,JUTE WEAVER,B,31,"1 Coplandhill, Aberdeenshire",Annie,Kovalchuk,SCHOLAR'S DAUR,S,19,"1 Erroll Street, Roanheads, Peterhead",Ryan,Kovacevic,FARMER 75 AC 1 MAN 1 BOY,,Christina,Garcia,,Connor,Kovalchuk,SAWYER,,Mary,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,2923,3296,2923,3296,1846,2590,2386,3248,2923,3296,2590,1846,3248,2386
1060,11,MARCH,1885,"Dumfries and Galloway",Archibald,Maisuradze,SCHOLAR,B,19,"1 Fairhurst Road, Stranraer, Dumfries and Galloway",Elizabeth,Rossi,SCHOLAR,S,16,"1 Henderson Road, Troon, South Ayrshire",Julen,Maisuradze,LABOURER,,Bella,Harutyunyan,,Connor,Rossi,FLESHER (MASTER),,Agnes,Rasmussen,,SYNTHETIC DATA PRODUCED USING VALIPOP,3319,3418,3319,3418,2338,2807,2740,3279,3319,3418,2807,2338,3279,2740
1065,22,JULY,1886,"Holmhead East Ayrshire",Jno,Sanchez,COTTON SPINNER,B,41,"1 Girnick, Scottish Borders",Catherine,Williams, ,W,44,"2 Jean Lawrie Court, Lessudden House, Scottish Borders",David,Sanchez,WOOLL FRAME WORK KNITTER,,Antonia,Soto,,James,Williams,HOSIER & SHIRT MAKER,,Hellen,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,2723,2636,2723,2636,2492,1995,1722,1739,2723,2636,1995,2492,1739,1722
1066,1,JUNE,1886,"Highland",John,Mohamed,PLOUGHMAN,B,26,"1 Maconochie Place, Broadsea, Fraserburgh",Jean,Rodriguez,HOUSE KEEPER,S,29,"33 Gordon Brown Place, Highland",Michael,Mohamed,GROCER'S CLERK,,Sophie,Karlsson,,Robin,Rodriguez,CARTER,,Mary,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,3045,3004,3045,3004,3007,3006,2340,2703,3045,3004,3006,3007,2703,2340
1067,7,NOVEMBER,1886,"Kirkton Angus",Arthur,Larsson,SCHOLAR,B,20,"1 Keltie Bridge, Braeleny Farm, Stirling",Lizzie,Brown, ,S,20,"1 Geisher Road, Braeleny Farm, Stirling",George,Larsson,AUGR LABOURER,,Ana,Flores,,Harry,Brown,CALICO PRINTER (JOURY),,Jane,Hernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3235,3206,3235,3206,2752,2639,2534,2463,3235,3206,2639,2752,2463,2534
1068,31,AUGUST,1886,"Girvan South Ayrshire",Hugh,Visser,GROCER'S ASSISTANT,B,25,"572 Moss Road, Scottish Borders",Julie,Zhu, ,S,19,"140 Huron Avenue, Howden, Livingston",Alexander,Visser,LINNEN WEAVER,,Mary,Fernandez,,Samuel,Zhu, ,,Catherine,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3103,3627,3103,3627,2154,2175,3626,3625,3103,3627,2175,2154,3625,3626
1072,8,JUNE,1887,"Maybole South Ayrshire",Peter,Greco,MASON'S LABOURER,B,32,"1 Jenny Moore's Road, Lessudden House, Scottish Borders",Johan,Anderson,SEAMSTRESS,S,27,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",Lucas,Greco,CROFTER OF AGR LAB,,Maria,Levi,,Benjamin,Anderson,COTTON WEAVER,,Margaret,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,2933,3086,2933,3086,2727,1916,2412,2915,2933,3086,1916,2727,2915,2412
1073,20,MARCH,1887,"Weensmoore Scottish Borders",James,Flores,BLACKSMITH,B,24,"1 Garnock Street, Dalry, North Ayrshire",Ellen,Garcia, ,S,25,"1 Knockcushan Street, Girvan, South Ayrshire",Isaac,Flores,GAME KEEPER,,Georgina,CONLLY,,Duncan,Garcia,COAL MINER,,Catherine,Szabo,,SYNTHETIC DATA PRODUCED USING VALIPOP,3173,3114,3173,3114,2414,2754,2480,2513,3173,3114,2754,2414,2513,2480
1074,25,NOVEMBER,1887,"Highland",Richard,Grech,SHIPPING CL,B,32,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",Lisandra,Nguyen,DOMESTIC SERV,S,25,"1 Underbank, Largs, North Ayrshire",William,Grech,IRON SHIP BUILDER,,Margaret,Rivera,,Vytautas,Nguyen,CHELSEA PENSIONER,,Hannah,Ozdemir,,SYNTHETIC DATA PRODUCED USING VALIPOP,2911,3371,2911,3371,2412,2203,3367,3366,2911,3371,2203,2412,3366,3367
1075,15,DECEMBER,1887,"Northbank Farm Steadings Fife",David,Anderson,SCHOLAR,B,17,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",Jane,Brown,SCHOLAR,S,20,"1 Geisher Road, Braeleny Farm, Stirling",Benjamin,Anderson,COTTON WEAVER,,Margaret,Rivera,,Harry,Brown,CALICO PRINTER (JOURY),,Jane,Hernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3351,3300,3351,3300,2412,2915,2534,2463,3351,3300,2915,2412,2463,2534
1076,14,MAY,1887,"Northbank Farm Steadings Fife",James,Flores,LABOURER,B,24,"1 Garnock Street, Dalry, North Ayrshire",Mary,Brown,SCHOLAR,S,17,"1 Geisher Road, Braeleny Farm, Stirling",Isaac,Flores,GAME KEEPER,,Georgina,CONLLY,,Harry,Brown,CALICO PRINTER (JOURY),,Jane,Hernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3141,3358,3141,3358,2414,2754,2534,2463,3141,3358,2754,2414,2463,2534
1080,26,DECEMBER,1888,"Braeleny Farm Stirling",Alexander,Harutyunyan,FARMERS SON,B,30,"1 Carr Crescent, Crail, Fife",Ann,Greco, ,S,29,"1 Rathad na Horgh, Na h-Eileanan Siar",Thomas,Harutyunyan,ENGINE SMITH,,Sanne,Soto,,Jeffrey,Greco,GRAIN STORE KEEPER,,Isabella,Molnar,,SYNTHETIC DATA PRODUCED USING VALIPOP,2999,3030,2999,3030,2490,1909,2978,2977,2999,3030,1909,2490,2977,2978
1081,2,JUNE,1888,"Milnwood North Lanarkshire",Thomas,de Boer,AG OVERSEER,B,33,"1 Station Terrace, Scotstoun, Kirkliston",Ann,Kristiansen,FLAX MILL WORKER,W,30,"1 Milton Wynd, South Ayrshire",John,de Boer,FARMER (OF 20 ACRES ARABLE AND 400 HILL PASTURE EMPLOYING 5,,Ann,Thill,,Robert,Kristiansen,LABOURER IRON WORK,,Janet,Rossi,,SYNTHETIC DATA PRODUCED USING VALIPOP,2987,3074,2987,3074,1944,1863,2102,2055,2987,3074,1863,1944,2055,2102
1082,26,MAY,1888,"Allanbank Lauder ",Conor,Schroeder, ,B,17,"1 Blaeloch Drive, Simshill, Glasgow City",Susan,Larsson,SCHOLAR,S,19,"1 Keltie Bridge, Braeleny Farm, Stirling",Aaron,Schroeder,COAL MINER,,Marie,Vasquez,,George,Larsson,AUGR LABOURER,,Ana,Flores,,SYNTHETIC DATA PRODUCED USING VALIPOP,3732,3298,3732,3298,3726,3725,2752,2639,3732,3298,3725,3726,2639,2752
1083,25,DECEMBER,1888,"Rummond Fife",James,HUNTER,LINEN WEAVER,W,73,"1 Benrig Manse, Scottish Borders",Isabella,Schroeder,DOMESTIC SERVANT,S,21,"1 The Avenue, Three Bridges, Inveraray",George,HUNTER,STONE BREAKER,,Elizabeth,Jensen,,William,Schroeder,IRON STONE MINER,,Fatma,Rossi,,SYNTHETIC DATA PRODUCED USING VALIPOP,1861,3302,1861,3302,1230,1191,3281,2669,1861,3302,1191,1230,2669,3281
1084,23,JANUARY,1888,"Selwick Hoy",Jack,Santana, ,B,19,"1 Grainbank, Kirkwall, Orkney Islands",Jane,Boykohighlanders),SCHOLAR,S,16,"1 Dalmarnock, Glasgow City",Ronald,Santana,MINISTER'S SON,,Megan,,,Aaron,Boykohighlanders),CROFTER,,Mary,Fernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3474,3438,3474,3438,3473,3472,2382,3180,3474,3438,3472,3473,3180,2382
1085,9,OCTOBER,1888,"Girvan South Ayrshire",John,WILLIAMS,LAPPER,B,27,"2 Union Street, Scottish Borders",Alice,Jimenez, ,S,17,"1 Glen Mount, Dalmellington, East Ayrshire",George,WILLIAMS,GENERAL PORTER,,Marie,Brown,,Dylan,Jimenez, ,,Sophie,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3109,3924,3109,3924,2464,2127,3923,3922,3109,3924,2127,2464,3922,3923
1092,11,JANUARY,1889,"Highland",Robin,Kiss,GENERAL SERVANT DOM,B,27,"1 Oakdene Court, Culloden, Highland",Mary,Wozniak,HAND LOOM CANVAS WEAVER,S,24,"1 School Lane, Balbinny, Angus",Elias,Kiss,RAILWAY LABOURER,,Catherine,,,Duncan,Wozniak,FARMER OF 40 ACRES EMPLOYING 1 MAN & 1 WOMAN,,Kate,Garcia,,SYNTHETIC DATA PRODUCED USING VALIPOP,3549,3204,3549,3204,3547,3546,2416,2439,3549,3204,3546,3547,2439,2416
1098,14,JANUARY,1890,"Dumfries and Galloway",Arnau,Mohamed,JEWELLER,B,35,"1 Maconochie Place, Broadsea, Fraserburgh",Mary,Paulauskas, ,W,37,"735 Golf Course Road, Girvan, South Ayrshire",Michael,Mohamed,GROCER'S CLERK,,Sophie,Karlsson,,Antanas,Paulauskas,SURGON LIE OF F P S G,,Ellen,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,3010,2854,3010,2854,3007,3006,2122,2374,3010,2854,3006,3007,2374,2122
1099,25,MAY,1890,"Monksford House Scottish Borders",Jose,Garcia,PLOUGHMAN,B,25,"1 Sheepburn Road, Kylepark, South Lanarkshire",Ann,CONLLY,HOUSEWIFE,S,26,"1 Springs Park, South Ayrshire",Tim,Garcia, ,,Telma,Каbaney,,John,CONLLY,LINEN WEAVER,,Sara,Jones,,SYNTHETIC DATA PRODUCED USING VALIPOP,3514,3176,3514,3176,3513,3512,2861,2511,3514,3176,3512,3513,2511,2861
1100,15,MARCH,1890,"Aberfeldy Perth and Kinross",George,Grech,WRITING MASTER,W,39,"1 Shepherd Lane, Kirkton, Angus",Christina,Jones,DOMESTIC SERVANT,S,27,"1 Brochroy Croft, Argyll and Bute",George,Grech,SEAMAN,,Aada,Jones,,Pablo,Jones,DRAINER,,Bridget,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,2825,3174,2825,3174,2430,2053,2410,2864,2825,3174,2053,2430,2864,2410
1101,20,OCTOBER,1890,,Hugh,Markovic,CLERK,B,27,"2 Braehouse, Scottish Borders",Annie,Harutyunyan,AG LAB,S,26,"2 Braehouse, Scottish Borders",Alexander,Markovic,CROFTER,,Annie,Celik,,Adam,Harutyunyan,MARKET GARDENER,,Elesebeth,Williams,,SYNTHETIC DATA PRODUCED USING VALIPOP,3303,3324,3303,3324,2798,2438,2506,2257,3303,3324,2438,2798,2257,2506
1102,14,OCTOBER,1890,"Bridge of Don Aberdeen City",James,Nguyen,COALMINER,B,20,"1 Underbank, Largs, North Ayrshire",Ellen,Delic,DAIRYMAID,S,21,"1 Rathad na Horgh, Na h-Eileanan Siar",Vytautas,Nguyen,CHELSEA PENSIONER,,Hannah,Ozdemir,,William,Delic,LANDED PROPRIETOR'S GARDENER,,Anne,Thill,,SYNTHETIC DATA PRODUCED USING VALIPOP,3381,3352,3381,3352,3367,3366,2450,2383,3381,3352,3366,3367,2383,2450
1103,12,JANUARY,1890,"Annan Dumfries and Galloway",Kenneth,Jones,MERCHANT SEAMAN,B,27,"1 Cairnhill Place, South Ayrshire",Catherine,Maisuradze,SCHOLAR,S,20,"1 Fairhurst Road, Stranraer, Dumfries and Galloway",Samuel,Jones,LABOURER (MASON),,Kate,Bolkvadze,,Julen,Maisuradze,LABOURER,,Bella,Harutyunyan,,SYNTHETIC DATA PRODUCED USING VALIPOP,3143,3346,3143,3346,2538,2863,2338,2807,3143,3346,2863,2538,2807,2338
1108,27,FEBRUARY,1891,"Kaimhill Aberdeen City",Lachlan,Watanabe,PLOUGHMAN,W,47,"1 Wilton Park Road, Wilton Dean, Hawick",Mary,Rodriguez,DOMESTIC SERVANT,S,29,"33 Gordon Brown Place, Highland",Alex,Watanabe, ,,Susana,,,Robin,Rodriguez,CARTER,,Mary,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,2959,3112,2959,3112,2958,2957,2340,2703,2959,3112,2957,2958,2703,2340
1109,3,FEBRUARY,1891,"North Ayrshire",George,Schmit,LAPPER,B,22,"1 Braeleny Farm, Stirling",Mary,Sepp,PROSTITUTE,S,21,"1 Thirlestane Drive, The Luggie, Lauder",Willia,Schmit,COAL MINER,,Chiara,Flores,,John,Sepp,STOREMAN,,Jessica,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,3355,3390,3355,3390,2750,2413,3334,2721,3355,3390,2413,2750,2721,3334
1110,27,MARCH,1891,"Coplandhill Aberdeenshire",Nathan,Andersson,GENERAL LAW CL,B,24,"1 Kingsmills Park, Crown, Highland",Isabella,Jones,DRESSMAKER,S,20,"1 Brochroy Croft, Argyll and Bute",Francesco,Andersson, ,,Emma,,,Pablo,Jones,DRAINER,,Bridget,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,3602,3384,3602,3384,3601,3600,2410,2864,3602,3384,3600,3601,2864,2410
1116,14,NOVEMBER,1892,"Girvan South Ayrshire",Jack,Dumitru, ,B,24,"1 Park Road, Brownsburn, North Lanarkshire",Jane,Soto,MASON'S WIFE,W,40,"1 Frank Coutts Court, Scottish Borders",Jonas,Dumitru, ,,Mitsuki,,,Tyler,Soto,PRIVATE WATCHMAN,,Elizabeth,Fernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,4148,2908,4148,2908,4143,4147,2202,2491,4148,2908,4147,4143,2491,2202
1117,31,MARCH,1892,"Blackhouse Peterhead ",Richard,Grech,FARMER'S SON,W,40,"1 Blaven View, Highland",Reka,Mohamed,WIDOW UNEMPLOYED,W,38,"81 Glebe Park, Highland",William,Grech,IRON SHIP BUILDER,,Margaret,Rivera,,Michael,Mohamed,GROCER'S CLERK,,Sophie,Karlsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,2911,3009,2911,3009,2412,2203,3007,3006,2911,3009,2203,2412,3006,3007
1118,12,JUNE,1892,"Abbotsmeadow Melrose ",Samuel,Mohamed,AG LAB,W,39,"82 Glebe Park, Highland",Laura,Hasani,SEAMAN'S WIFE,S,35,"1 Ninewells Avenue, West Williamwood, Giffnock",Daniel,Mohamed, ,,Marta,,,Jonas,Hasani, ,,Olivia,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3329,3545,3329,3545,3328,3327,3544,3543,3329,3545,3327,3328,3543,3544
1119,16,APRIL,1892,"Lessudden House Scottish Borders",Sebastian,Schroeder,CLERK IN GRAIN STORE,B,26,"1 Blaeloch Drive, Simshill, Glasgow City",Ann,Kristiansen,GENERAL SERVANT,D,33,"200 Clyde Drive, Milnwood, North Lanarkshire",Aaron,Schroeder,COAL MINER,,Marie,Vasquez,,Robert,Kristiansen,LABOURER IRON WORK,,Janet,Rossi,,SYNTHETIC DATA PRODUCED USING VALIPOP,3733,3074,3733,3074,3726,3725,2102,2055,3733,3074,3725,3726,2055,2102
1120,24,DECEMBER,1892,"Stranraer Dumfries and Galloway",John,Rivera,AGR LABOURER,B,32,"1 Blair Street, Little Richorn, Dalbeattie",Christina,Jones, ,W,30,"12 Duntaylor Avenue, Aberfeldy, Perth and Kinross",David,Rivera,KEEPER OF CATTLE,,Ana,Novak,,Pablo,Jones,CROFTER,,Bridget,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,3139,3174,3139,3174,2552,2283,2410,2864,3139,3174,2283,2552,2864,2410
1122,21,JANUARY,1892,"South Ayrshire",Conor,Schroeder,STUDENT,W,25,"1 South Gardens, Allanbank, Lauder",Mary,Hernandez, ,S,29,"1 Earlsmeadow, St Mary's, Duns",Aaron,Schroeder,COAL MINER,,Marie,Vasquez,,Filip,Hernandez,AG LAB,,Aada,Morozov,,SYNTHETIC DATA PRODUCED USING VALIPOP,3732,3238,3732,3238,3726,3725,3158,2313,3732,3238,3725,3726,2313,3158
1123,31,OCTOBER,1892,"Dumfries and Galloway",James,Rivera,COAL MINER,B,26,"1 Blair Street, Little Richorn, Dalbeattie",Elizabeth,Anderson,DRESS MAKER,S,26,"1 Clerk Maxwell Crescent, Kincorth, Aberdeen City",David,Rivera,BUTCHER,,Ana,Novak,,Benjamin,Anderson,COTTON WEAVER,,Margaret,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,3231,3234,3231,3234,2552,2283,2412,2915,3231,3234,2283,2552,2915,2412
1124,12,OCTOBER,1892,"Highland",William,Rodriguez,FARMER'S SON,B,28,"33 Gordon Brown Place, Highland",Emma,Sanchez, ,S,19,"1 Moray View Court, Moray",Robin,Rodriguez,CARTER,,Mary,Rivera,,Mathias,Sanchez, ,,Aada,Ibrahimovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,3229,4108,3229,4108,2340,2703,4106,4105,3229,4108,2703,2340,4105,4106
1129,22,JANUARY,1893,"Aberdeenshire",James,Paulauskas,SHEETING WEAVER,B,34,"1 Riverside Gardens, Dumfries and Galloway",Annie,Kovalchuk,POWER LOOM WEAVER,W,28,"40 Ard Struan Road, Highland",Isak,Paulauskas,BLACKSMITH,,Mary,Rivera,,Connor,Kovalchuk,SAWYER,,Mary,Sanchez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3105,3296,3105,3296,2232,2371,2386,3248,3105,3296,2371,2232,3248,2386
1130,28,AUGUST,1893,"West Dunbartonshire",Joshua,Santana,SCHOLAR,B,17,"1 Broompark Road, Calderwood, East Calder",Isabella,Rojas, ,S,20,"1 Hayhill, Craigie, Ayr",Connor,Santana,FARMER OF 17 ACRES,,Irena,Santos,,Matthew,Rojas,LABOURER,,Janice,Flores,,SYNTHETIC DATA PRODUCED USING VALIPOP,3816,3412,3816,3412,3812,3811,2751,2653,3816,3412,3811,3812,2653,2751
1131,24,SEPTEMBER,1893,"Weensmoore Scottish Borders",Jack,Dumitru, ,W,26,"253 Golf Course Road, Girvan, South Ayrshire",Margaret,Rossi,DOMESTIC SERVANT,S,20,"1 Henderson Road, Troon, South Ayrshire",Jonas,Dumitru, ,,Mitsuki,,,Connor,Rossi,PLOUGHMAN,,Agnes,Rasmussen,,SYNTHETIC DATA PRODUCED USING VALIPOP,4148,3534,4148,3534,4143,4147,2740,3279,4148,3534,4147,4143,3279,2740
1132,22,NOVEMBER,1893,"Troon South Ayrshire",Walter,Rodriguez,JOURNEYMAN BLACKSMITH,B,23,"102 Brunton Park, Manse, Scottish Borders",Eva,Martinez,SCHOLAR,S,16,"1 Cunninghar Road, Jessiehill Cottages, West Lothian",William,Rodriguez,BLACKSMITH (JOURNEYMAN),,Sophie,Jones,,Carlos,Martinez,FARM SERVT,,Amy,Bruno,,SYNTHETIC DATA PRODUCED USING VALIPOP,3404,3659,3404,3659,2862,2447,3658,3657,3404,3659,2447,2862,3657,3658
1135,1,MAY,1894,"Stranraer Dumfries and Galloway",James,Szabo,IRONSTONE MINER,B,28,"2 Millbank Road, Stranraer, Dumfries and Galloway",Isabella,Bonik,LAUNDRY MAID,S,31,"1 Gretenhow, Gretna, Dumfries and Galloway",Tomas,Szabo,CROFTER FARMING 4 AC,,Ann,Larsson,,Nojus,Bonik,LINEN WEAVER,,Janet,Rivera,,SYNTHETIC DATA PRODUCED USING VALIPOP,3241,3142,3241,3142,2602,2238,2536,2976,3241,3142,2238,2602,2976,2536
1136,14,FEBRUARY,1894,"Aberdeenshire",Angus,Prochazka,HAND LOOM COTTON WEAVER,W,38,"33 Knockcushan Street, Girvan, South Ayrshire",Betsy,Rojas, ,S,34,"87 Riverside Park, Highland",James,Prochazka,GROOM,,Marie,Brown,,Thomas,Rojas,LABOURER,,Janet,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,3005,3146,3005,3146,2464,2075,2698,2650,3005,3146,2075,2464,2650,2698
1137,11,JANUARY,1894,"Argyll and Bute",Thomas,Smith,SCHOLAR,B,19,"1 Kinnaird Street, Cairnie, Angus",Christian,Jones, ,S,18,"1 Cairnhill Place, South Ayrshire",David,Smith,WOOD CUTTER,,Marta,Petrauskas,,Samuel,Jones,LABOURER (MASON),,Kate,Bolkvadze,,SYNTHETIC DATA PRODUCED USING VALIPOP,3499,3496,3499,3496,3212,2415,2538,2863,3499,3496,2415,3212,2863,2538
1138,15,MAY,1894,"Coplandhill Aberdeenshire",James,Flores,BOOK TRAVELLER,W,31,"2 Weensmoore, Scottish Borders",Jane,Markovic,SCHOLAR,S,20,"39 Ard Struan Road, Highland",Isaac,Flores,COACHMAN,,Georgina,CONLLY,,Andrew,Markovic,IRON MOULDER,,Alison,White,,SYNTHETIC DATA PRODUCED USING VALIPOP,3173,3500,3173,3500,2414,2754,2664,2853,3173,3500,2754,2414,2853,2664
1142,22,FEBRUARY,1895,"Girvan South Ayrshire",Alexandre,Flores,PLUMBER MASTER EMPLOYING 22 MEN & 12 BOYS,B,46,"56 Ashwood Grove, Milton of Leys, Highland",Polly,Larsson,WIFE,W,39,"1 Hartrigge Road, Scaurs, Jedburgh",Jose,Flores, ,,Julie,,,William,Larsson,SCAFANGER,,Jane,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,3851,3000,3851,3000,3850,3849,2230,1905,3851,3000,3849,3850,1905,2230
1143,5,MAY,1895,,James,Greco,WOOLEN WEAVER,W,52,"253 Golf Course Road, Girvan, South Ayrshire",Isabella,Markovic,OUT DOOR WORKER,W,41,"253 Golf Course Road, Girvan, South Ayrshire",Lucas,Greco,CROFTER OF AGR LAB,,Maria,Levi,,John,Markovic,LAB IRONWORK,,Mary,Larsson,,SYNTHETIC DATA PRODUCED USING VALIPOP,2745,3072,2745,3072,2727,1916,1964,2099,2745,3072,1916,2727,2099,1964
1144,14,JULY,1895,"Weensmoore Scottish Borders",Robert,Smith,NEWS PAPER CLERK,B,26,"1 Kinnaird Street, Cairnie, Angus",Julie,Zhu,DOMESTIC SERVANT,W,28,"252 Golf Course Road, Girvan, South Ayrshire",David,Smith,WOOD CUTTER,,Marta,Petrauskas,,Samuel,Zhu, ,,Catherine,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3389,3627,3389,3627,3212,2415,3626,3625,3389,3627,2415,3212,3625,3626
1145,16,APRIL,1895,"Weensmoore Scottish Borders",James,Garcia,LABOURER,B,30,"1 Knockcushan Street, Girvan, South Ayrshire",Janice,Jimenez,COTTON POWER LOOM WEAVER,S,26,"1 Glen Mount, Dalmellington, East Ayrshire",Duncan,Garcia,PAUPER,,Catherine,Szabo,,Dylan,Jimenez, ,,Sophie,,,SYNTHETIC DATA PRODUCED USING VALIPOP,3239,3927,3239,3927,2480,2513,3923,3922,3239,3927,2513,2480,3922,3923
1146,18,APRIL,1895,"Dumfries and Galloway",Alexr,Bonik,MOLE CATCHER,B,25,"1 Gretenhow, Gretna, Dumfries and Galloway",Isabella,Rojas, ,D,25,"1 Willowbank Close, Stenton, Fife",Nojus,Bonik,LINEN WEAVER,,Janet,Rivera,,Matthew,Rojas,LABOURER,,Janice,Flores,,SYNTHETIC DATA PRODUCED USING VALIPOP,3413,3412,3413,3412,2536,2976,2751,2653,3413,3412,2976,2536,2653,2751
1147,29,AUGUST,1895,"Allanbank Lauder ",Felix,Oliynyk,FARM SERVANT,B,23,"1 John Marshall Drive, Bishopbriggs, East Dunbartonshire",Paula,Schroeder, ,S,18,"1 Blaeloch Drive, Simshill, Glasgow City",Lukas,Oliynyk, ,,Laurence,,,Aaron,Schroeder,SHEPHERD,,Marie,Vasquez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3694,3729,3694,3729,3693,3692,3726,3725,3694,3729,3692,3693,3725,3726
1152,10,NOVEMBER,1896,"Blackhouse Peterhead ",Alexr,Prochazka,AG LAB,B,35,"1 Ritchie Place, Aberdeenshire",Maggie,Harutyunyan,SAW MILLERS WIFE,W,42,"89 Carbost Hall Road, Highland",Peter,Prochazka,AG LAB,,Siiri,Shevchuk,,George,Harutyunyan,DRUGGIST PORTER,,Isabella,Markovic,,SYNTHETIC DATA PRODUCED USING VALIPOP,3175,2988,3175,2988,2526,2129,1946,1791,3175,2988,2129,2526,1791,1946
1153,11,OCTOBER,1896,,James,Thill,BAKER (JOURNEYMAN),B,29,"40 Ard Struan Road, Highland",Mathilda,Brown,TEACHER,W,34,"40 Ard Struan Road, Highland",Thomas,Thill,BASKET MAKER,,Johanna,Soto,,Harry,Brown,WINE MERCHANT,,Jane,Hernandez,,SYNTHETIC DATA PRODUCED USING VALIPOP,3415,3266,3415,3266,2644,2637,2534,2463,3415,3266,2637,2644,2463,2534
1154,8,MAY,1896,"Na h-Eileanan Siar",James,Bonik,JOURNYMAN SHOEMAKER,B,33,"1 Gretenhow, Gretna, Dumfries and Galloway",Jane,Li,TAILORS WIFE,W,32,"1 Kinmonth Road, Aberdeenshire",Nojus,Bonik,LINEN WEAVER,,Janet,Rivera,,Matteo,Li,CALICO PRINTER,,Minnie,DAVISON,,SYNTHETIC DATA PRODUCED USING VALIPOP,3205,3268,3205,3268,2536,2976,2632,2680,3205,3268,2976,2536,2680,2632
